_time,_left_vel,_right_vel,_left_pos,_right_pos
11.0,652.0,653.0,4.0,3.0
21.0,1519.0,1519.0,17.0,16.0
31.0,2086.0,2086.0,37.0,36.0
41.0,2851.0,2660.0,64.0,62.0
50.0,3249.0,3251.0,93.0,91.0
61.0,3678.0,3679.0,130.0,126.0
71.0,3971.0,3970.0,170.0,164.0
81.0,4161.0,4163.0,212.0,204.0
91.0,4523.0,4311.0,254.0,244.0
101.0,4731.0,4297.0,302.0,288.0
111.0,4730.0,4518.0,348.0,332.0
121.0,5140.0,4695.0,399.0,378.0
131.0,5078.0,4701.0,451.0,426.0
141.0,5008.0,4761.0,500.0,471.0
151.0,5075.0,4889.0,554.0,521.0
161.0,5277.0,4715.0,608.0,570.0
171.0,5367.0,4939.0,660.0,617.0
181.0,5352.0,4918.0,716.0,668.0
191.0,5355.0,5143.0,769.0,716.0
201.0,5634.0,5073.0,826.0,767.0
211.0,5616.0,5058.0,883.0,818.0
221.0,5602.0,5219.0,937.0,867.0
231.0,5551.0,4913.0,991.0,915.0
241.0,5545.0,5107.0,1048.0,967.0
251.0,5606.0,5047.0,1106.0,1018.0
261.0,5404.0,5021.0,1160.0,1067.0
271.0,5607.0,5049.0,1218.0,1119.0
281.0,5565.0,4926.0,1272.0,1167.0
291.0,5602.0,5044.0,1330.0,1219.0
301.0,5590.0,5016.0,1384.0,1268.0
311.0,5601.0,5042.0,1442.0,1320.0
321.0,5560.0,5134.0,1496.0,1368.0
331.0,5595.0,5038.0,1553.0,1420.0
341.0,5584.0,5009.0,1608.0,1469.0
351.0,5594.0,5036.0,1666.0,1522.0
361.0,5766.0,4914.0,1720.0,1570.0
371.0,5591.0,5033.0,1777.0,1622.0
381.0,5769.0,5194.0,1832.0,1671.0
391.0,5524.0,5103.0,1886.0,1720.0
401.0,5600.0,5042.0,1944.0,1772.0
411.0,5520.0,5097.0,1997.0,1821.0
421.0,5726.0,5094.0,2056.0,1874.0
431.0,5517.0,5094.0,2110.0,1923.0
441.0,5595.0,5222.0,2168.0,1976.0
451.0,5723.0,4878.0,2222.0,2024.0
461.0,5424.0,4933.0,2276.0,2074.0
471.0,5757.0,5015.0,2335.0,2127.0
481.0,5524.0,5104.0,2389.0,2176.0
491.0,5753.0,5013.0,2447.0,2228.0
501.0,5555.0,4982.0,2501.0,2278.0
511.0,5713.0,5080.0,2556.0,2328.0
521.0,5578.0,5208.0,2614.0,2381.0
531.0,5494.0,5073.0,2668.0,2430.0
541.0,5649.0,5163.0,2723.0,2480.0
551.0,5558.0,5002.0,2781.0,2532.0
561.0,5715.0,5084.0,2836.0,2582.0
571.0,5478.0,5051.0,2890.0,2632.0
581.0,5679.0,5053.0,2949.0,2685.0
591.0,5678.0,5045.0,3004.0,2735.0
601.0,5641.0,5065.0,3059.0,2785.0
611.0,5531.0,4977.0,3117.0,2838.0
621.0,5515.0,4946.0,3172.0,2888.0
631.0,5669.0,5252.0,3227.0,2939.0
641.0,5686.0,5052.0,3282.0,2988.0
651.0,5521.0,4971.0,3340.0,3041.0
661.0,5692.0,5122.0,3395.0,3092.0
671.0,5443.0,5025.0,3450.0,3142.0
681.0,5455.0,5036.0,3505.0,3192.0
691.0,5643.0,5018.0,3560.0,3242.0
701.0,5637.0,5012.0,3619.0,3295.0
711.0,5504.0,5139.0,3674.0,3346.0
721.0,5449.0,5242.0,3729.0,3396.0
731.0,5636.0,5223.0,3784.0,3446.0
741.0,5567.0,5085.0,3839.0,3496.0
751.0,5629.0,5215.0,3895.0,3547.0
761.0,5649.0,5024.0,3950.0,3597.0
771.0,5493.0,5129.0,4008.0,3651.0
781.0,5665.0,5101.0,4064.0,3701.0
791.0,5623.0,5210.0,4119.0,3752.0
801.0,5643.0,5227.0,4175.0,3803.0
811.0,5412.0,4996.0,4229.0,3852.0
821.0,5554.0,5073.0,4285.0,3903.0
831.0,5617.0,4994.0,4340.0,3953.0
841.0,5632.0,5007.0,4396.0,4004.0
851.0,5657.0,4927.0,4455.0,4057.0
861.0,5646.0,5082.0,4510.0,4108.0
871.0,5651.0,5107.0,4566.0,4159.0
881.0,5619.0,4998.0,4621.0,4209.0
891.0,5598.0,5186.0,4676.0,4260.0
901.0,5641.0,5079.0,4732.0,4310.0
911.0,5595.0,5165.0,4788.0,4361.0
921.0,5590.0,5180.0,4844.0,4413.0
931.0,5568.0,4951.0,4899.0,4463.0
941.0,5612.0,5051.0,4955.0,4514.0
951.0,5617.0,5257.0,5011.0,4566.0
961.0,5580.0,5169.0,5067.0,4617.0
971.0,5614.0,5072.0,5123.0,4667.0
981.0,5604.0,5231.0,5179.0,4719.0
991.0,5557.0,4942.0,5231.0,4766.0
1001.0,5782.0,5164.0,5288.0,4818.0
1011.0,5553.0,4937.0,5343.0,4868.0
1021.0,5473.0,5000.0,5399.0,4919.0
1031.0,5550.0,4936.0,5455.0,4970.0
1041.0,5568.0,5156.0,5512.0,5022.0
1051.0,5546.0,4932.0,5567.0,5072.0
1061.0,5589.0,5033.0,5624.0,5123.0
1071.0,5749.0,5137.0,5680.0,5175.0
1081.0,5468.0,4996.0,5732.0,5223.0
1091.0,5523.0,5116.0,5788.0,5274.0
1101.0,5676.0,5207.0,5845.0,5325.0
1111.0,5521.0,5115.0,5901.0,5376.0
1121.0,5540.0,5134.0,5958.0,5428.0
1131.0,5519.0,5113.0,6014.0,5479.0
1141.0,5567.0,5012.0,6070.0,5530.0
1151.0,5518.0,5111.0,6123.0,5578.0
1161.0,5538.0,5129.0,6180.0,5630.0
1171.0,5720.0,4905.0,6236.0,5680.0
1181.0,5563.0,5194.0,6292.0,5732.0
1191.0,5395.0,5036.0,6348.0,5783.0
1201.0,5457.0,4986.0,6401.0,5831.0
1211.0,5511.0,5106.0,6458.0,5882.0
1221.0,5430.0,5197.0,6514.0,5934.0
1231.0,5714.0,5106.0,6571.0,5985.0
1241.0,5688.0,4981.0,6624.0,6033.0
1251.0,5509.0,5103.0,6680.0,6084.0
1261.0,5424.0,5192.0,6736.0,6136.0
1271.0,5506.0,4897.0,6793.0,6187.0
1281.0,5448.0,4977.0,6846.0,6236.0
1291.0,5504.0,5099.0,6902.0,6287.0
1301.0,5653.0,4951.0,6959.0,6338.0
1311.0,5707.0,5097.0,7016.0,6390.0
1321.0,5727.0,5114.0,7073.0,6442.0
1331.0,5562.0,5024.0,7129.0,6493.0
1341.0,5484.0,5065.0,7181.0,6541.0
1351.0,5498.0,5094.0,7238.0,6593.0
1361.0,5722.0,5111.0,7296.0,6645.0
1371.0,5739.0,5024.0,7352.0,6696.0
1381.0,5480.0,5061.0,7404.0,6744.0
1391.0,5495.0,5092.0,7461.0,6796.0
1401.0,5514.0,5107.0,7518.0,6848.0
1411.0,5377.0,5019.0,7574.0,6899.0
1421.0,5686.0,5056.0,7628.0,6947.0
1431.0,5492.0,5087.0,7684.0,6999.0
1441.0,5714.0,5105.0,7742.0,7051.0
1451.0,5490.0,5085.0,7794.0,7099.0
1461.0,5637.0,5172.0,7851.0,7151.0
1471.0,5488.0,5084.0,7907.0,7202.0
1481.0,5660.0,4957.0,7961.0,7251.0
1491.0,5486.0,5083.0,8017.0,7302.0
1501.0,5635.0,5167.0,8074.0,7354.0
1511.0,5687.0,5082.0,8131.0,7405.0
1521.0,5420.0,5187.0,8184.0,7454.0
1531.0,5685.0,5079.0,8241.0,7505.0
1541.0,5624.0,4923.0,8298.0,7556.0
1551.0,5366.0,5010.0,8354.0,7608.0
1561.0,5655.0,4949.0,8408.0,7656.0
1571.0,5478.0,5076.0,8464.0,7708.0
1581.0,5529.0,4976.0,8521.0,7759.0
1591.0,5476.0,5074.0,8574.0,7808.0
1601.0,5653.0,5050.0,8632.0,7860.0
1611.0,5474.0,5070.0,8688.0,7911.0
1621.0,5457.0,5039.0,8741.0,7959.0
1631.0,5473.0,5069.0,8798.0,8011.0
1641.0,5695.0,4883.0,8856.0,8063.0
1651.0,5673.0,5067.0,8909.0,8111.0
1661.0,5616.0,5149.0,8966.0,8163.0
1671.0,5470.0,5065.0,9022.0,8214.0
1681.0,5639.0,5172.0,9076.0,8263.0
1691.0,5669.0,5267.0,9133.0,8315.0
1701.0,5702.0,4965.0,9190.0,8366.0
1711.0,5668.0,5062.0,9243.0,8414.0
1721.0,5685.0,5080.0,9301.0,8467.0
