_time,_left_pos,_right_pos,_left_vel,_right_vel,_obsv_time,_obsv_sL,_obsv_sR,_obsv_psi,_obsv_psi_dot
52412.0,0.0,0.0,0.0,0.0,52381.0,15.329,3.571,-83.384,-0.004
52432.0,9.0,5.0,455.0,253.0,52418.0,15.329,3.571,-83.384,-0.004
52455.0,32.0,20.0,969.0,632.0,52459.0,0.0,0.0,0.0,-0.001
52472.0,52.0,30.0,1224.0,612.0,52496.0,0.912,0.908,-0.029,-0.001
52492.0,79.0,42.0,1326.0,589.0,52537.0,2.124,2.111,-0.09,-0.001
52520.0,121.0,62.0,1526.0,726.0,52579.0,3.774,3.751,-0.169,-0.001
52532.0,142.0,73.0,1757.0,920.0,52617.0,5.969,5.931,-0.264,-0.001
52552.0,179.0,92.0,1800.0,924.0,52657.0,7.847,7.798,-0.344,-0.001
52576.0,224.0,116.0,1897.0,1011.0,52699.0,10.076,10.014,-0.435,-0.001
52592.0,256.0,133.0,1969.0,1046.0,52737.0,12.515,12.44,-0.535,-0.001
52612.0,294.0,153.0,1952.0,1027.0,52777.0,14.603,14.517,-0.616,-0.001
52638.0,348.0,183.0,2027.0,1126.0,52819.0,16.955,16.855,-0.713,-0.001
52652.0,376.0,198.0,2058.0,1103.0,52855.0,19.5,19.385,-0.814,-0.001
52671.0,416.0,220.0,2034.0,1118.0,52897.0,21.641,21.514,-0.897,-0.001
52695.0,466.0,247.0,2106.0,1137.0,52939.0,23.957,23.818,-0.989,-0.001
52711.0,499.0,266.0,2036.0,1172.0,52977.0,26.572,26.418,-1.09,-0.001
52732.0,542.0,290.0,2110.0,1178.0,53017.0,28.66,28.495,-1.175,-0.001
52758.0,600.0,321.0,2176.0,1163.0,53059.0,30.977,30.798,-1.273,-0.001
52772.0,629.0,337.0,2126.0,1173.0,53097.0,33.487,33.293,-1.378,-0.001
52792.0,671.0,361.0,2136.0,1220.0,53137.0,35.576,35.369,-1.463,-0.001
52815.0,722.0,389.0,2148.0,1179.0,53179.0,37.928,37.707,-1.561,-0.001
52832.0,757.0,408.0,2155.0,1170.0,53217.0,40.385,40.15,-1.664,-0.001
52852.0,800.0,433.0,2110.0,1227.0,53255.0,42.456,42.209,-1.752,-0.001
52880.0,860.0,466.0,2179.0,1198.0,53298.0,44.755,44.495,-1.847,-0.001
52892.0,885.0,480.0,2089.0,1170.0,53337.0,47.195,46.92,-1.947,-0.001
52912.0,929.0,505.0,2140.0,1216.0,53375.0,49.354,49.066,-2.037,-0.001
52936.0,980.0,534.0,2149.0,1222.0,53418.0,51.688,51.387,-2.133,-0.001
52952.0,1016.0,553.0,2213.0,1168.0,53455.0,54.163,53.847,-2.238,-0.001
52972.0,1057.0,576.0,2107.0,1182.0,53497.0,56.339,56.011,-2.331,-0.001
52998.0,1114.0,606.0,2143.0,1127.0,53539.0,58.674,58.331,-2.426,-0.001
53012.0,1143.0,622.0,2127.0,1174.0,53577.0,61.306,60.949,-2.538,-0.001
53031.0,1184.0,645.0,2090.0,1172.0,53617.0,63.413,63.042,-2.626,-0.001
53055.0,1236.0,672.0,2190.0,1136.0,53659.0,65.8,65.415,-2.724,-0.001
53072.0,1272.0,692.0,2108.0,1171.0,53695.0,68.362,67.963,-2.831,-0.001
53092.0,1313.0,714.0,2105.0,1129.0,53737.0,70.486,70.074,-2.922,-0.001
53118.0,1370.0,745.0,2138.0,1162.0,53779.0,72.785,72.36,-3.017,-0.001
53132.0,1400.0,761.0,2205.0,1176.0,53817.0,75.348,74.907,-3.125,-0.001
53152.0,1441.0,783.0,2085.0,1119.0,53857.0,77.419,76.966,-3.208,-0.001
53175.0,1491.0,810.0,2108.0,1138.0,53899.0,79.718,79.252,-3.308,-0.001
53192.0,1525.0,828.0,2098.0,1111.0,53937.0,82.228,81.747,-3.408,-0.001
53212.0,1568.0,851.0,2108.0,1127.0,53977.0,84.299,83.806,-3.496,-0.001
53239.0,1624.0,881.0,2105.0,1127.0,54019.0,86.616,86.109,-3.594,-0.001
53252.0,1653.0,897.0,2126.0,1173.0,54057.0,89.108,88.587,-3.701,-0.001
53272.0,1694.0,919.0,2100.0,1127.0,54095.0,91.197,90.663,-3.782,-0.001
53295.0,1743.0,946.0,2141.0,1180.0,54138.0,93.531,92.984,-3.882,-0.001
53312.0,1779.0,965.0,2104.0,1110.0,54175.0,96.023,95.462,-3.985,-0.001
53332.0,1823.0,989.0,2160.0,1178.0,54217.0,98.235,97.66,-4.077,-0.001
53359.0,1880.0,1020.0,2141.0,1164.0,54259.0,100.605,100.015,-4.182,-0.001
