_time,_left_vel,_right_vel,_left_pos,_right_pos
11.0,0.0,190.0,0.0,1.0
21.0,190.0,190.0,2.0,2.0
31.0,217.0,0.0,4.0,3.0
41.0,216.0,217.0,7.0,6.0
51.0,379.0,379.0,11.0,9.0
61.0,380.0,190.0,15.0,12.0
70.0,216.0,433.0,19.0,16.0
81.0,432.0,432.0,24.0,20.0
91.0,565.0,377.0,29.0,24.0
101.0,648.0,432.0,34.0,28.0
111.0,430.0,215.0,39.0,32.0
121.0,430.0,430.0,44.0,37.0
131.0,645.0,430.0,50.0,41.0
141.0,566.0,566.0,55.0,46.0
151.0,376.0,564.0,60.0,51.0
161.0,582.0,388.0,66.0,55.0
171.0,563.0,564.0,71.0,60.0
181.0,431.0,431.0,76.0,64.0
191.0,642.0,428.0,82.0,69.0
201.0,428.0,428.0,87.0,74.0
211.0,641.0,641.0,93.0,79.0
221.0,563.0,563.0,98.0,84.0
231.0,641.0,427.0,104.0,88.0
241.0,426.0,427.0,109.0,93.0
251.0,427.0,641.0,114.0,98.0
261.0,562.0,563.0,120.0,103.0
271.0,640.0,427.0,126.0,107.0
281.0,426.0,426.0,131.0,112.0
291.0,639.0,426.0,137.0,117.0
301.0,562.0,562.0,142.0,122.0
311.0,639.0,640.0,148.0,127.0
321.0,426.0,426.0,153.0,132.0
331.0,639.0,639.0,159.0,137.0
341.0,561.0,561.0,165.0,142.0
351.0,638.0,638.0,170.0,147.0
361.0,638.0,425.0,176.0,151.0
371.0,638.0,425.0,181.0,156.0
381.0,373.0,561.0,186.0,162.0
391.0,425.0,425.0,192.0,166.0
401.0,637.0,637.0,198.0,172.0
411.0,424.0,425.0,203.0,176.0
421.0,560.0,560.0,209.0,182.0
431.0,424.0,637.0,214.0,187.0
441.0,493.0,494.0,220.0,191.0
451.0,743.0,372.0,226.0,196.0
461.0,638.0,425.0,231.0,201.0
471.0,557.0,557.0,237.0,207.0
481.0,575.0,383.0,242.0,211.0
491.0,423.0,423.0,247.0,216.0
501.0,558.0,558.0,253.0,222.0
511.0,423.0,423.0,258.0,226.0
521.0,423.0,635.0,264.0,232.0
531.0,634.0,423.0,270.0,236.0
541.0,424.0,636.0,275.0,242.0
551.0,555.0,556.0,281.0,247.0
561.0,573.0,572.0,286.0,252.0
571.0,632.0,633.0,292.0,257.0
581.0,741.0,556.0,298.0,262.0
591.0,631.0,631.0,303.0,267.0
601.0,488.0,489.0,308.0,272.0
611.0,553.0,553.0,314.0,277.0
621.0,632.0,421.0,320.0,282.0
631.0,630.0,630.0,325.0,287.0
641.0,487.0,488.0,330.0,292.0
651.0,552.0,553.0,336.0,298.0
661.0,631.0,631.0,342.0,303.0
671.0,419.0,419.0,347.0,307.0
681.0,729.0,243.0,353.0,312.0
691.0,551.0,551.0,358.0,318.0
701.0,629.0,630.0,364.0,323.0
711.0,626.0,418.0,370.0,328.0
721.0,484.0,485.0,375.0,333.0
731.0,626.0,417.0,381.0,338.0
741.0,628.0,419.0,386.0,343.0
751.0,549.0,550.0,392.0,349.0
761.0,567.0,567.0,397.0,354.0
771.0,625.0,626.0,403.0,359.0
781.0,418.0,418.0,408.0,364.0
791.0,625.0,416.0,414.0,369.0
801.0,483.0,725.0,419.0,375.0
811.0,624.0,416.0,425.0,379.0
821.0,417.0,627.0,430.0,385.0
831.0,548.0,548.0,436.0,391.0
841.0,565.0,566.0,442.0,395.0
851.0,623.0,623.0,447.0,401.0
861.0,625.0,625.0,453.0,406.0
871.0,415.0,622.0,458.0,411.0
881.0,481.0,481.0,464.0,416.0
891.0,622.0,622.0,469.0,422.0
901.0,624.0,624.0,475.0,427.0
911.0,414.0,622.0,480.0,432.0
921.0,717.0,476.0,486.0,437.0
931.0,412.0,412.0,491.0,442.0
941.0,621.0,621.0,497.0,448.0
951.0,412.0,412.0,502.0,453.0
961.0,477.0,477.0,508.0,458.0
971.0,617.0,412.0,514.0,463.0
981.0,413.0,620.0,519.0,469.0
991.0,617.0,617.0,525.0,474.0
1001.0,373.0,560.0,530.0,479.0
1011.0,411.0,617.0,536.0,485.0
1021.0,619.0,619.0,542.0,490.0
1031.0,542.0,542.0,547.0,495.0
1041.0,559.0,373.0,553.0,500.0
1051.0,616.0,616.0,558.0,506.0
1061.0,618.0,618.0,564.0,511.0
1071.0,616.0,410.0,570.0,516.0
1081.0,475.0,713.0,575.0,522.0
1091.0,613.0,614.0,581.0,527.0
1101.0,410.0,411.0,586.0,532.0
1111.0,613.0,613.0,592.0,538.0
1121.0,742.0,557.0,598.0,543.0
1131.0,613.0,409.0,603.0,548.0
1141.0,615.0,616.0,609.0,554.0
1151.0,613.0,613.0,614.0,559.0
1161.0,556.0,557.0,620.0,564.0
1171.0,539.0,539.0,625.0,570.0
1181.0,474.0,712.0,630.0,575.0
1191.0,408.0,408.0,636.0,580.0
1201.0,708.0,472.0,642.0,585.0
1211.0,612.0,613.0,648.0,591.0
1221.0,711.0,474.0,653.0,596.0
1231.0,408.0,408.0,658.0,601.0
1241.0,471.0,708.0,664.0,607.0
1251.0,612.0,612.0,670.0,612.0
1261.0,409.0,614.0,675.0,618.0
1271.0,538.0,539.0,681.0,623.0
1281.0,422.0,422.0,686.0,628.0
1291.0,407.0,407.0,692.0,633.0
1301.0,613.0,614.0,698.0,639.0
1311.0,407.0,407.0,703.0,644.0
1321.0,555.0,555.0,709.0,650.0
1331.0,407.0,611.0,714.0,655.0
1341.0,409.0,613.0,720.0,660.0
1351.0,611.0,407.0,726.0,665.0
1361.0,370.0,555.0,731.0,671.0
1371.0,610.0,611.0,737.0,676.0
1381.0,408.0,408.0,742.0,681.0
1391.0,407.0,611.0,748.0,687.0
1401.0,554.0,554.0,754.0,692.0
1411.0,610.0,407.0,759.0,697.0
1421.0,612.0,612.0,765.0,703.0
1431.0,406.0,407.0,770.0,708.0
1441.0,554.0,554.0,776.0,714.0
1451.0,610.0,610.0,782.0,719.0
1461.0,408.0,408.0,787.0,724.0
1471.0,609.0,610.0,793.0,730.0
1481.0,631.0,631.0,798.0,735.0
1491.0,609.0,406.0,804.0,740.0
1501.0,611.0,612.0,810.0,746.0
1511.0,406.0,406.0,815.0,751.0
1521.0,630.0,420.0,821.0,756.0
1531.0,406.0,609.0,826.0,762.0
1541.0,407.0,407.0,832.0,767.0
1551.0,609.0,609.0,838.0,773.0
1561.0,468.0,469.0,843.0,778.0
1571.0,608.0,609.0,849.0,784.0
1581.0,471.0,235.0,854.0,788.0
1591.0,405.0,405.0,860.0,794.0
1601.0,703.0,703.0,866.0,800.0
1611.0,608.0,405.0,872.0,805.0
1621.0,705.0,706.0,877.0,811.0
1631.0,405.0,608.0,882.0,816.0
1641.0,552.0,552.0,888.0,822.0
1651.0,608.0,608.0,894.0,827.0
1661.0,610.0,407.0,900.0,832.0
1671.0,607.0,608.0,905.0,838.0
1681.0,419.0,629.0,910.0,843.0
1691.0,405.0,405.0,916.0,848.0
1701.0,609.0,609.0,922.0,854.0
1711.0,404.0,405.0,927.0,859.0
1721.0,467.0,701.0,933.0,865.0
1731.0,607.0,607.0,939.0,871.0
1741.0,469.0,704.0,944.0,876.0
1751.0,606.0,404.0,950.0,881.0
1761.0,551.0,551.0,956.0,887.0
1771.0,606.0,607.0,961.0,892.0
1786.0,513.0,513.0,970.0,900.0
