_time,_left_pos,_right_pos,_left_vel,_right_vel,_obsv_time,_obsv_left_vel,_obsv_right_vel,_obsv_s,_obsv_yaw
48502.0,0.0,0.0,0.0,0.0,48487.0,0.0,0.0,0.0,0.0
48519.0,5.0,5.0,294.0,294.0,48523.0,156.0,166.0,0.0,0.0
48538.0,18.0,19.0,677.0,730.0,48528.0,166.0,166.0,0.0,0.0
48558.0,37.0,39.0,945.0,995.0,48544.0,138.0,165.0,2.0,0.0
48579.0,59.0,60.0,1043.0,995.0,48564.0,126.0,165.0,5.0,0.0
48599.0,83.0,82.0,1197.0,1097.0,48586.0,122.0,165.0,9.0,0.0
48622.0,112.0,109.0,1286.0,1197.0,48605.0,119.0,165.0,12.0,0.0
48639.0,136.0,131.0,1417.0,1299.0,48643.0,62.0,165.0,20.0,0.0
48658.0,165.0,157.0,1513.0,1357.0,48648.0,166.0,166.0,20.0,0.0
48678.0,197.0,187.0,1593.0,1493.0,48664.0,110.0,165.0,24.0,0.0
48699.0,231.0,219.0,1610.0,1515.0,48684.0,102.0,165.0,29.0,0.0
48719.0,265.0,251.0,1696.0,1596.0,48705.0,98.0,165.0,34.0,0.0
48742.0,303.0,287.0,1678.0,1590.0,48725.0,98.0,165.0,39.0,0.0
48759.0,333.0,314.0,1771.0,1594.0,48763.0,32.0,164.0,49.0,0.0
48778.0,366.0,346.0,1720.0,1668.0,48768.0,165.0,166.0,49.0,0.0
48798.0,402.0,379.0,1791.0,1642.0,48784.0,99.0,165.0,54.0,0.0
48819.0,440.0,415.0,1801.0,1706.0,48804.0,95.0,165.0,59.0,0.0
48839.0,476.0,449.0,1796.0,1696.0,48825.0,90.0,165.0,65.0,0.0
48862.0,517.0,487.0,1817.0,1684.0,48845.0,94.0,165.0,70.0,0.0
48879.0,548.0,517.0,1830.0,1771.0,48883.0,23.0,164.0,81.0,0.0
48898.0,582.0,550.0,1775.0,1723.0,48888.0,165.0,166.0,81.0,0.0
48918.0,620.0,585.0,1892.0,1742.0,48904.0,97.0,165.0,86.0,0.0
48939.0,659.0,622.0,1849.0,1754.0,48924.0,91.0,165.0,92.0,0.0
