_time,_left_vel,_right_vel,_left_pos,_right_pos
11.0,380.0,380.0,2.0,3.0
21.0,1302.0,1303.0,14.0,14.0
30.0,1736.0,1737.0,30.0,30.0
41.0,2255.0,2256.0,52.0,51.0
51.0,2816.0,2600.0,79.0,77.0
61.0,3246.0,2813.0,110.0,106.0
70.0,3462.0,3031.0,141.0,135.0
81.0,3583.0,3362.0,176.0,169.0
91.0,3663.0,3448.0,213.0,203.0
101.0,4092.0,3664.0,253.0,240.0
111.0,4086.0,3659.0,291.0,275.0
121.0,4153.0,3777.0,332.0,313.0
131.0,4140.0,3765.0,374.0,351.0
141.0,4076.0,3883.0,415.0,389.0
151.0,4320.0,3948.0,460.0,429.0
161.0,4309.0,3879.0,501.0,467.0
171.0,4507.0,3865.0,546.0,507.0
181.0,4290.0,4079.0,591.0,549.0
191.0,4499.0,4072.0,635.0,589.0
201.0,4508.0,4129.0,681.0,631.0
211.0,4489.0,4064.0,724.0,670.0
221.0,4485.0,4058.0,771.0,713.0
231.0,4487.0,4275.0,815.0,754.0
241.0,4503.0,4318.0,862.0,797.0
251.0,4672.0,4114.0,909.0,840.0
261.0,4631.0,4247.0,953.0,881.0
271.0,4480.0,4269.0,997.0,922.0
281.0,4499.0,4313.0,1044.0,966.0
291.0,4669.0,4297.0,1091.0,1010.0
301.0,4435.0,4244.0,1135.0,1051.0
311.0,4685.0,4261.0,1180.0,1092.0
321.0,4681.0,4122.0,1227.0,1135.0
331.0,4664.0,4106.0,1274.0,1179.0
341.0,4622.0,4431.0,1318.0,1221.0
351.0,4681.0,4258.0,1363.0,1262.0
361.0,4487.0,4303.0,1410.0,1306.0
371.0,4467.0,4256.0,1454.0,1346.0
381.0,4675.0,4466.0,1502.0,1391.0
391.0,4464.0,4251.0,1546.0,1432.0
401.0,4668.0,4296.0,1594.0,1476.0
411.0,4672.0,4248.0,1638.0,1517.0
421.0,4669.0,4248.0,1686.0,1561.0
431.0,4457.0,4246.0,1730.0,1602.0
441.0,4470.0,4260.0,1775.0,1643.0
451.0,4451.0,4241.0,1822.0,1687.0
461.0,4436.0,4441.0,1867.0,1729.0
471.0,4642.0,4272.0,1915.0,1773.0
481.0,4676.0,4253.0,1960.0,1814.0
491.0,4639.0,4268.0,2007.0,1858.0
501.0,4598.0,4216.0,2052.0,1899.0
511.0,4655.0,4232.0,2097.0,1941.0
521.0,4648.0,4275.0,2145.0,1985.0
531.0,4436.0,4228.0,2189.0,2026.0
541.0,4422.0,4179.0,2234.0,2068.0
551.0,4447.0,4078.0,2282.0,2112.0
561.0,4446.0,4237.0,2327.0,2154.0
571.0,4639.0,4219.0,2372.0,2195.0
581.0,4632.0,4212.0,2420.0,2239.0
591.0,4421.0,4212.0,2465.0,2281.0
601.0,4431.0,4222.0,2510.0,2323.0
611.0,4427.0,4244.0,2558.0,2367.0
621.0,4564.0,4186.0,2603.0,2409.0
631.0,4619.0,4202.0,2649.0,2450.0
641.0,4633.0,4214.0,2694.0,2492.0
651.0,4604.0,4234.0,2742.0,2536.0
661.0,4556.0,4179.0,2787.0,2578.0
671.0,4608.0,4191.0,2832.0,2620.0
681.0,4619.0,4199.0,2878.0,2662.0
691.0,4599.0,4184.0,2923.0,2703.0
701.0,4597.0,4391.0,2971.0,2749.0
711.0,4585.0,4220.0,3017.0,2790.0
721.0,4611.0,4405.0,3062.0,2833.0
731.0,4592.0,4177.0,3107.0,2874.0
741.0,4598.0,4112.0,3153.0,2916.0
751.0,4589.0,4173.0,3198.0,2958.0
761.0,4604.0,4187.0,3244.0,3000.0
771.0,4575.0,4210.0,3292.0,3045.0
781.0,4722.0,4157.0,3338.0,3087.0
791.0,4582.0,4169.0,3383.0,3129.0
801.0,4599.0,4183.0,3429.0,3171.0
811.0,4579.0,4165.0,3474.0,3213.0
821.0,4587.0,4108.0,3519.0,3255.0
831.0,4576.0,4162.0,3565.0,3297.0
841.0,4590.0,4175.0,3611.0,3339.0
851.0,4564.0,4200.0,3659.0,3384.0
861.0,4704.0,4140.0,3705.0,3426.0
871.0,4558.0,4194.0,3750.0,3469.0
881.0,4578.0,4165.0,3796.0,3511.0
891.0,4562.0,4149.0,3841.0,3553.0
901.0,4700.0,4138.0,3887.0,3595.0
911.0,4768.0,4355.0,3933.0,3638.0
921.0,4557.0,4352.0,3978.0,3681.0
931.0,4539.0,4128.0,4024.0,3722.0
941.0,4490.0,4304.0,4070.0,3765.0
951.0,4536.0,4125.0,4116.0,3807.0
961.0,4548.0,4341.0,4162.0,3851.0
971.0,4528.0,4348.0,4208.0,3893.0
981.0,4483.0,4110.0,4254.0,3935.0
991.0,4528.0,4166.0,4300.0,3978.0
1001.0,4545.0,4340.0,4346.0,4021.0
1011.0,4527.0,4323.0,4389.0,4061.0
1021.0,4524.0,4290.0,4435.0,4103.0
1031.0,4522.0,4318.0,4481.0,4146.0
1041.0,4536.0,4332.0,4528.0,4189.0
1051.0,4724.0,4110.0,4574.0,4231.0
1061.0,4517.0,4281.0,4619.0,4274.0
1071.0,4723.0,4315.0,4666.0,4317.0
1081.0,4517.0,4313.0,4712.0,4360.0
1091.0,4503.0,4144.0,4758.0,4402.0
1101.0,4661.0,4239.0,4802.0,4442.0
1111.0,4499.0,4093.0,4848.0,4485.0
1121.0,4515.0,4313.0,4894.0,4529.0
1131.0,4498.0,4297.0,4940.0,4571.0
1141.0,4454.0,4269.0,4986.0,4614.0
1151.0,4701.0,4090.0,5030.0,4654.0
1161.0,4512.0,4105.0,5076.0,4697.0
1171.0,4494.0,4291.0,5122.0,4740.0
1181.0,4724.0,4254.0,5169.0,4783.0
1191.0,4493.0,4292.0,5215.0,4826.0
1201.0,4508.0,4305.0,5261.0,4869.0
1211.0,4696.0,4290.0,5305.0,4909.0
1221.0,4485.0,4252.0,5351.0,4952.0
1231.0,4491.0,4084.0,5397.0,4994.0
1241.0,4504.0,4096.0,5444.0,5038.0
1251.0,4489.0,4286.0,5487.0,5078.0
1261.0,4481.0,4248.0,5533.0,5121.0
1271.0,4487.0,4081.0,5579.0,5163.0
1281.0,4501.0,4297.0,5626.0,5207.0
1291.0,4491.0,4312.0,5672.0,5250.0
1301.0,4643.0,4222.0,5716.0,5290.0
1311.0,4484.0,4282.0,5762.0,5333.0
1321.0,4701.0,4295.0,5809.0,5377.0
1331.0,4481.0,4279.0,5855.0,5419.0
1341.0,4428.0,4220.0,5898.0,5459.0
1351.0,4684.0,4075.0,5945.0,5502.0
1361.0,4698.0,4294.0,5992.0,5546.0
1371.0,4683.0,4276.0,6038.0,5589.0
1381.0,4635.0,4216.0,6081.0,5629.0
1391.0,4681.0,4276.0,6128.0,5672.0
1401.0,4696.0,4086.0,6175.0,5715.0
1411.0,4680.0,4071.0,6221.0,5758.0
1421.0,4631.0,4213.0,6264.0,5798.0
1431.0,4678.0,4273.0,6311.0,5842.0
1441.0,4691.0,4082.0,6358.0,5885.0
1451.0,4473.0,4272.0,6404.0,5928.0
1461.0,4420.0,4211.0,6447.0,5968.0
1471.0,4472.0,4271.0,6494.0,6011.0
1481.0,4487.0,4284.0,6541.0,6055.0
1491.0,4477.0,4297.0,6587.0,6098.0
1501.0,4626.0,4207.0,6631.0,6138.0
1511.0,4468.0,4267.0,6677.0,6181.0
1521.0,4687.0,4281.0,6725.0,6225.0
1531.0,4467.0,4264.0,6767.0,6265.0
1541.0,4454.0,4224.0,6814.0,6308.0
1551.0,4669.0,4265.0,6861.0,6351.0
1561.0,4474.0,4242.0,6905.0,6392.0
1571.0,4464.0,4263.0,6951.0,6435.0
1581.0,4687.0,4220.0,6998.0,6478.0
1591.0,4649.0,4113.0,7045.0,6521.0
1601.0,4472.0,4475.0,7088.0,6562.0
1611.0,4664.0,4261.0,7135.0,6605.0
1621.0,4604.0,4237.0,7182.0,6648.0
1631.0,4663.0,4259.0,7226.0,6689.0
1641.0,4676.0,4476.0,7273.0,6733.0
1651.0,4660.0,4256.0,7319.0,6775.0
1661.0,4614.0,4407.0,7363.0,6816.0
1671.0,4659.0,4256.0,7410.0,6859.0
1681.0,4699.0,4233.0,7454.0,6900.0
1691.0,4456.0,4255.0,7500.0,6943.0
1701.0,4676.0,4211.0,7547.0,6986.0
1711.0,4656.0,4253.0,7594.0,7030.0
1721.0,4694.0,4229.0,7638.0,7070.0
1731.0,4451.0,4251.0,7684.0,7114.0
1741.0,4598.0,4230.0,7731.0,7157.0
1751.0,4450.0,4250.0,7774.0,7198.0
