_time,_left_vel,_right_vel,_left_pos,_right_pos
11.0,1.854366,1.854366,0.01308997,0.008726645
21.0,6.459398,6.459398,0.06544985,0.06544985
31.0,9.699866,8.893191,0.1570796,0.1570796
41.0,11.95179,11.04173,0.2661627,0.2661627
51.0,13.79344,13.79344,0.3970624,0.3970624
61.0,15.89746,15.89746,0.5497787,0.5497787
71.0,16.84991,16.84681,0.7286749,0.7243116
81.0,19.1254,18.22608,0.9075712,0.8944813
91.0,19.18999,18.39715,1.099557,1.077741
101.0,20.58948,18.93875,1.304634,1.269727
111.0,21.57687,19.17944,1.514073,1.466077
121.0,21.78938,19.98607,1.727876,1.666789
131.0,22.34737,19.94936,1.950406,1.867502
141.0,22.99079,20.51977,2.177298,2.076942
151.0,23.55614,20.8338,2.395464,2.273291
161.0,23.49273,21.69458,2.62672,2.487094
171.0,23.50246,20.79064,2.86234,2.700897
181.0,24.10097,20.95736,3.102323,2.919063
191.0,24.36098,21.66317,3.346669,3.141593
201.0,24.26565,21.59616,3.591015,3.359759
211.0,24.24068,21.55614,3.817908,3.564835
221.0,24.93328,21.81662,4.066617,3.787364
231.0,24.45986,22.08878,4.315327,4.014257
241.0,24.77401,22.73641,4.550946,4.223697
251.0,24.99449,21.43262,4.804018,4.441863
261.0,24.88587,22.12545,5.039638,4.655666
271.0,24.0085,21.34524,5.292711,4.878195
281.0,24.68641,21.6108,5.532694,5.091998
291.0,24.0085,21.34959,5.785767,5.314528
301.0,24.78639,21.10989,6.025749,5.52833
311.0,24.81679,21.26721,6.283185,5.755223
321.0,24.54753,22.51774,6.518805,5.969026
331.0,23.70894,21.94831,6.758788,6.182829
342.0,24.75984,22.37192,7.020587,6.414085
351.0,24.61181,22.86765,7.26057,6.632251
361.0,24.3195,21.28945,7.504916,6.846054
371.0,24.56727,21.93506,7.744898,7.059857
381.0,24.4774,21.75769,7.989244,7.278023
391.0,24.47867,20.98172,8.233591,7.491826
401.0,24.16238,22.16419,8.4823,7.714355
411.0,24.44928,21.83408,8.722282,7.932521
421.0,25.23194,21.63184,8.970992,8.150687
431.0,24.41996,21.80353,9.215339,8.368854
441.0,24.10121,23.11295,9.464047,8.591383
451.0,24.40045,21.79047,9.708394,8.805186
461.0,24.28566,21.58725,9.95274,9.023353
471.0,24.38097,21.76872,10.20145,9.241518
481.0,24.06244,22.06738,10.45016,9.464047
491.0,24.36153,21.75136,10.6945,9.682214
501.0,24.24567,21.56058,10.93885,9.90038
511.0,24.33726,22.59888,11.18756,10.12291
522.0,24.99612,22.00667,11.44063,10.34544
532.0,25.17135,21.70808,11.68498,10.56361
542.0,25.09202,22.40359,11.93369,10.78613
551.0,25.15134,21.68219,12.16494,10.99121
561.0,23.95237,21.97141,12.41365,11.21374
571.0,25.14134,21.66926,12.66236,11.43191
581.0,25.04573,22.35767,12.91107,11.65444
592.0,24.23588,22.51367,13.15542,11.87697
602.0,24.88209,22.9072,13.40849,12.09949
611.0,24.22626,21.63059,13.63975,12.30457
621.0,24.99449,21.42823,13.88846,12.52274
642.0,23.43582,23.50468,14.41206,12.98525
646.0,25.19378,21.59467,14.50369,13.06379
652.0,24.15263,21.88832,14.64331,13.19033
661.0,24.01124,21.12524,14.86584,13.38667
671.0,24.37611,21.92625,15.12328,13.61793
681.0,24.07606,22.23349,15.3589,13.82737
691.0,25.10449,22.65821,15.61633,14.05426
701.0,25.00472,21.64182,15.86068,14.26807
711.0,24.83342,22.07415,16.10066,14.48623
721.0,24.63608,20.99946,16.34064,14.69567
731.0,24.07572,21.66416,16.59808,14.92693
741.0,24.70271,21.40094,16.84679,15.14509
751.0,24.60521,21.87129,17.07805,15.35017
761.0,24.76437,21.57687,17.33548,15.58143
771.0,23.97869,22.38012,17.57983,15.79959
781.0,24.66548,22.19475,17.82854,16.01776
791.0,25.43682,21.80299,18.05979,16.22284
801.0,25.3787,21.76221,18.30414,16.441
811.0,24.46215,21.74865,18.54849,16.6548
821.0,24.1648,21.01287,18.7972,16.87733
831.0,24.43171,21.71258,19.04591,17.09986
841.0,24.37106,21.67213,19.29461,17.31803
851.0,25.24758,21.64973,19.54332,17.5362
861.0,24.4947,21.22477,19.79203,17.75872
871.0,25.20071,22.48209,20.02765,17.96816
881.0,25.12298,22.44508,20.27636,18.19069
891.0,24.22573,22.43584,20.52507,18.41322
901.0,24.04035,22.20521,20.76069,18.62266
911.0,24.0969,21.41946,21.01376,18.84519
921.0,24.76815,21.68239,21.25375,19.05463
931.0,24.0772,21.37574,21.50246,19.27716
942.0,25.01628,21.78434,21.75989,19.50406
951.0,24.91294,22.24369,21.99987,19.71786
961.0,24.63415,21.5701,22.23549,19.9273
971.0,23.94993,22.17587,22.48857,20.15419
981.0,23.7883,21.05674,22.72855,20.36363
992.0,24.80671,22.14435,22.98599,20.59488
1001.0,24.37611,21.34897,23.22597,20.80433
1011.0,24.64657,21.99699,23.47031,21.02249
1021.0,24.52836,21.80299,23.7103,21.23629
1031.0,24.58705,21.95272,23.95464,21.45446
1041.0,24.28566,22.27735,24.19899,21.67263
1051.0,24.46397,21.84283,24.45643,21.89952
1061.0,24.38115,21.66765,24.70077,22.11769
1071.0,24.45907,20.96491,24.94512,22.33149
1081.0,24.1401,21.13233,25.18946,22.54965
1091.0,24.43461,21.81662,25.43817,22.76782
1101.0,24.32577,22.51921,25.68252,22.99035
1111.0,24.41508,21.79918,25.92687,23.20415
1121.0,25.09965,22.09278,26.17558,23.42232
1132.0,24.38097,21.77307,26.41992,23.64048
1142.0,24.27065,22.47282,26.66427,23.86301
1152.0,24.36638,21.7557,26.91298,24.08118
1162.0,25.02479,22.03699,27.16169,24.29935
1171.0,24.32757,21.72104,27.38858,24.50442
1181.0,24.23071,21.53841,27.63729,24.72259
1191.0,24.31788,21.7124,27.886,24.94075
1201.0,24.98467,21.99155,28.13471,25.16765
1211.0,24.29371,21.69081,28.37905,25.38145
1222.0,24.18594,21.48979,28.62776,25.59962
1232.0,24.27922,20.81076,28.87647,25.81778
1242.0,24.91619,21.9463,29.12518,26.04031
1251.0,24.91854,21.47728,29.35644,26.24539
1261.0,24.13639,22.35309,29.60515,26.46792
1272.0,24.23107,21.63488,29.85386,26.68608
1282.0,23.87591,21.90123,30.10257,26.90861
1291.0,24.20706,21.61345,30.33382,27.11369
1306.0,25.61638,21.38884,30.7047,27.43221
