_time,_left_vel,_right_vel,_left_pos,_right_pos
11.0,1.85476,0.9275772,0.008726645,0.008726645
21.0,3.228902,3.229699,0.03054326,0.03054326
31.0,4.043858,4.044608,0.06544985,0.06544985
41.0,5.508087,4.592005,0.1134464,0.1090831
51.0,5.517374,5.517374,0.1658063,0.1614429
61.0,5.481562,5.48271,0.2268928,0.2225295
71.0,6.419012,6.419012,0.2923426,0.2879793
81.0,6.372473,7.290431,0.3577925,0.3534292
91.0,6.375133,7.287387,0.4276057,0.4232423
101.0,7.412214,7.412214,0.5017822,0.4930555
111.0,7.992898,7.192291,0.580322,0.567232
121.0,7.261615,7.269176,0.6544985,0.6414085
131.0,8.176121,7.272205,0.7330383,0.715585
141.0,7.388506,7.387115,0.8115781,0.7941248
151.0,8.08855,8.08855,0.8857546,0.8683013
161.0,8.142216,8.142216,0.9686577,0.9468411
171.0,8.140528,8.142216,1.051561,1.025381
181.0,7.336839,7.336839,1.130101,1.103921
191.0,8.113617,8.116971,1.213004,1.186824
201.0,8.098557,7.198718,1.295907,1.265364
211.0,7.893132,7.89456,1.37881,1.348267
221.0,8.357078,8.360637,1.45735,1.426807
231.0,8.968804,8.073584,1.544616,1.50971
241.0,8.273664,8.273664,1.623156,1.583886
251.0,8.03723,8.03723,1.706059,1.666789
261.0,8.089216,8.086218,1.788962,1.749693
271.0,8.012632,8.014267,1.871866,1.828232
282.0,8.892038,8.00773,1.959132,1.915499
291.0,8.004466,8.89385,2.037672,1.994039
302.0,8.054871,8.056357,2.120575,2.076942
311.0,7.980067,7.981688,2.203478,2.155482
321.0,8.182509,8.188268,2.282018,2.238385
331.0,7.970349,7.968731,2.369284,2.321288
341.0,8.189762,8.189762,2.452188,2.399828
351.0,8.795249,7.914129,2.535091,2.482731
361.0,9.121929,8.114037,2.617994,2.561271
371.0,7.8998,7.90298,2.696534,2.644174
382.0,7.963722,8.760094,2.7838,2.73144
392.0,7.844568,7.844568,2.866703,2.80998
402.0,8.057845,8.059706,2.949606,2.892883
412.0,7.861843,8.735381,3.03251,2.975786
422.0,8.116971,9.01513,3.115413,3.05869
432.0,7.853981,7.852411,3.198316,3.137229
442.0,8.037436,8.039287,3.281219,3.220132
452.0,7.844568,8.716187,3.364122,3.303035
462.0,8.098557,8.098557,3.447025,3.381575
472.0,7.835177,7.835177,3.529928,3.464478
482.0,8.01713,8.022658,3.612832,3.547382
491.0,7.827369,8.697076,3.691371,3.625921
501.0,8.083554,8.083554,3.774275,3.708825
511.0,8.691878,8.691878,3.861541,3.791728
521.0,9.004794,8.007935,3.944444,3.870268
531.0,8.68323,7.814907,4.027347,3.953171
541.0,8.068606,8.065292,4.11025,4.036074
552.0,7.807139,8.672874,4.193153,4.118977
562.0,7.980472,7.985949,4.276057,4.20188
571.0,7.989605,8.988306,4.354597,4.28042
581.0,8.943069,8.048761,4.441863,4.35896
591.0,8.659105,7.793194,4.524766,4.441863
602.0,7.962268,7.967721,4.607669,4.52913
612.0,7.787013,7.787013,4.690572,4.607669
621.0,8.267784,8.267784,4.769112,4.686209
631.0,8.641955,8.641955,4.856379,4.769112
646.0,8.568136,8.563931,4.982915,4.891285
652.0,8.413068,7.648244,5.030911,4.934918
661.0,7.69885,8.655479,5.105088,5.009095
671.0,8.34997,7.423774,5.187991,5.087635
