_time,_left_vel
10.0,0.927183
20.0,4.626085
30.0,6.467775
40.0,7.358049
50.0,9.683721
60.0,9.905387
70.0,10.43089
80.0,11.83706
90.0,12.74495
100.0,13.17727
110.0,13.58544
120.0,13.61836
130.0,13.6212
140.0,13.95607
150.0,14.22565
160.0,13.55912
170.0,14.46006
180.0,14.67015
190.0,14.43614
200.0,14.37372
210.0,15.01053
220.0,14.82863
230.0,14.35304
240.0,14.44809
250.0,14.28841
260.0,14.55789
270.0,14.22436
281.0,15.11031
290.0,14.23016
300.0,14.68823
310.0,15.06427
320.0,14.31604
331.0,14.05257
350.0,14.94289
360.0,15.20675
370.0,14.91584
380.0,14.4991
391.0,13.98781
401.0,14.08822
411.0,14.85015
421.0,14.42421
431.0,14.8353
441.0,14.05904
451.0,14.81456
461.0,14.39447
470.0,14.80273
480.0,14.02998
490.0,14.78798
500.0,14.37076
510.0,14.77914
520.0,15.00111
530.0,14.75855
541.0,14.34124
551.0,14.74389
561.0,14.95997
570.0,14.73803
580.0,15.20633
590.0,14.72048
601.0,14.92925
610.0,14.9463
620.0,14.27964
630.0,14.69423
640.0,14.99424
650.0,14.58391
660.0,15.08061
670.0,14.63111
680.0,14.78466
690.0,14.5741
700.0,14.99996
710.0,14.7192
720.0,15.50836
730.0,14.62362
740.0,14.79451
750.0,14.58086
760.0,14.55351
770.0,15.18929
780.0,15.0427
790.0,15.447
800.0,14.50513
810.0,14.4991
820.0,15.75965
830.0,14.47805
840.0,15.34474
850.0,14.43017
860.0,14.70783
870.0,14.39744
880.0,14.35009
890.0,15.2501
900.0,15.72202
910.0,15.17833
920.0,14.44809
930.0,14.26505
940.0,14.72541
950.0,15.12263
960.0,14.3733
970.0,15.07959
980.0,15.56041
991.0,14.04754
1000.0,15.24216
1010.0,14.96097
1020.0,15.43736
1030.0,14.92785
1040.0,15.1715
1051.0,14.82048
1061.0,15.34157
1071.0,14.85312
1081.0,15.09104
1091.0,14.83233
1101.0,14.41527
1111.0,14.81752
1121.0,15.05286
1131.0,14.79978
1141.0,15.28467
1150.0,14.78798
1160.0,15.01832
1170.0,14.78208
1180.0,14.35894
1190.0,14.77031
1201.0,14.98051
1211.0,14.74389
1221.0,15.21881
1230.0,14.7351
1240.0,13.95944
1260.0,15.20322
1271.0,14.71172
1281.0,14.91904
1290.0,15.56168
1305.0,14.93558
1310.0,14.89787
1320.0,14.64202
1330.0,14.83808
1340.0,14.82863
1350.0,14.78466
1360.0,14.72231
1370.0,14.53364
1380.0,14.96282
1390.0,14.59916
1400.0,15.5181
1410.0,15.49217
1420.0,14.80526
1430.0,15.46632
1440.0,15.45022
1450.0,15.447
1460.0,14.75876
1480.0,15.38612
1490.0,15.37018
1500.0,14.7299
1510.0,15.098
1520.0,15.6691
1530.0,14.40041
1540.0,14.56869
1550.0,14.99153
1560.0,14.50297
1570.0,15.17522
1580.0,14.76902
1590.0,15.15972
1610.0,14.23596
1620.0,14.7006
1630.0,15.098
1640.0,14.32275
1650.0,15.06122
1660.0,15.42772
1670.0,14.96097
1680.0,15.21382
1691.0,14.93687
1700.0,14.50211
1710.0,14.91584
1720.0,14.09797
1730.0,13.97941
1740.0,15.33523
1760.0,15.07366
1770.0,15.69854
1780.0,15.30675
1790.0,14.8116
1801.0,15.03557
1811.0,14.79388
1821.0,15.26894
1831.0,15.65162
1841.0,15.00111
1850.0,15.63604
1860.0,15.2407
1870.0,15.6236
1881.0,14.97708
1890.0,14.74096
1901.0,14.32065
1910.0,14.96681
1920.0,14.9463
1930.0,14.71464
1940.0,15.18454
1951.0,14.69715
1970.0,14.97953
1970.0,14.97953
1980.0,16.15647
1990.0,15.46989
2000.0,15.73536
2010.0,15.71869
2020.0,15.02374
2030.0,14.7068
2040.0,15.31839
2050.0,15.4954
2060.0,15.92841
2070.0,15.49864
2080.0,14.55047
2090.0,15.48247
2100.0,14.78735
2110.0,14.54138
2120.0,14.52021
2130.0,15.42131
2140.0,15.76725
2150.0,15.3989
2160.0,14.45407
2170.0,15.098
2180.0,14.91734
2190.0,15.32572
2200.0,15.23444
2210.0,15.01324
2220.0,14.83808
2230.0,15.21881
2240.0,15.48742
2250.0,15.17522
2261.0,15.32689
2270.0,15.13497
2280.0,15.41084
2290.0,15.10723
2300.0,15.57675
2310.0,15.05816
2320.0,15.32783
2330.0,14.96701
2341.0,15.15874
2350.0,14.93988
2360.0,15.19263
2370.0,14.91285
2380.0,15.30359
2390.0,14.8561
2400.0,15.09452
2410.0,14.84124
2420.0,15.32256
2430.0,14.82937
2440.0,15.06326
2450.0,14.81456
2460.0,15.29097
2470.0,14.80273
2481.0,15.02177
2490.0,14.78798
2501.0,14.36485
