_time,_right_vel
10.0,0.9273801
20.0,3.701653
30.0,5.661402
40.0,6.441009
50.0,7.261447
60.0,8.252928
70.0,9.626747
80.0,10.02225
90.0,10.01389
100.0,9.881086
110.0,10.92196
120.0,10.90149
130.0,10.90376
140.0,10.67229
150.0,11.9434
160.0,11.7488
170.0,11.91948
180.0,12.1489
190.0,11.73179
200.0,11.69792
210.0,12.57701
220.0,11.13329
230.0,11.66184
240.0,11.60458
250.0,11.61171
260.0,12.12933
270.0,11.56201
280.0,11.56436
290.0,12.44885
300.0,12.08454
310.0,11.5174
320.0,12.27952
330.0,11.46155
340.0,11.82966
350.0,11.43613
360.0,12.17105
381.0,11.94776
391.0,12.23688
400.0,12.08956
410.0,12.22953
420.0,11.72209
430.0,12.21486
440.0,11.05402
481.0,12.02846
490.0,12.03675
500.0,12.57442
510.0,12.17105
520.0,11.01091
530.0,11.2882
540.0,10.75372
561.0,10.98068
570.0,11.97892
580.0,11.62599
590.0,12.12275
601.0,11.95158
611.0,12.11073
630.0,12.10113
640.0,12.54429
650.0,11.7561
670.0,12.0585
680.0,12.16088
690.0,12.00237
710.0,11.0394
720.0,12.02238
730.0,11.88418
740.0,12.35136
750.0,11.84943
760.0,11.83212
770.0,11.82966
780.0,12.33971
790.0,11.81487
800.0,11.79522
810.0,11.78052
820.0,11.48243
830.0,11.92817
840.0,11.74637
850.0,11.73179
860.0,12.55031
870.0,11.68828
880.0,11.43865
890.0,12.55632
900.0,12.17445
910.0,11.60458
920.0,11.59984
931.0,11.77367
940.0,11.9644
950.0,11.56672
960.0,11.55023
970.0,12.42101
980.0,12.04672
990.0,11.51506
1000.0,12.19941
1011.0,11.43844
1020.0,11.80749
1030.0,12.29105
1040.0,12.14283
1050.0,11.36965
1060.0,11.73422
1070.0,12.22953
1080.0,12.07283
1090.0,11.34691
1100.0,11.71241
1110.0,12.20754
1120.0,12.05338
1130.0,12.19779
1140.0,11.69069
1150.0,12.18319
1161.0,11.01849
1170.0,11.29944
1181.0,11.66424
1191.0,12.15652
1201.0,11.99539
1210.0,11.28371
1230.0,12.1372
1241.0,10.97064
1251.0,11.25907
1270.0,11.25014
1280.0,11.9434
1291.0,11.24122
1320.0,12.08419
1330.0,12.06107
1340.0,11.86272
1350.0,12.15862
1360.0,11.97703
1370.0,11.96187
1380.0,11.95935
1390.0,12.01797
1400.0,11.8792
1410.0,11.84943
1420.0,11.53664
1430.0,11.99374
1440.0,11.8198
1450.0,10.90831
1470.0,11.95649
1480.0,11.77318
1490.0,11.92599
1500.0,12.1463
1510.0,11.74637
1520.0,11.71967
1530.0,11.70516
1540.0,11.39036
1560.0,11.64747
1570.0,11.00856
1580.0,12.00237
1590.0,11.78215
1600.0,12.35486
1610.0,11.57144
1620.0,11.95179
1630.0,12.43112
1640.0,12.3958
1650.0,11.51039
1661.0,11.95649
1670.0,11.44074
1680.0,12.17955
1690.0,11.42231
1700.0,11.78297
1710.0,12.27623
1720.0,12.09235
1731.0,11.35827
1741.0,11.72451
1751.0,11.34918
1761.0,12.06449
1771.0,12.20754
1781.0,11.69792
1791.0,12.19779
1801.0,12.03122
1820.0,11.68106
1830.0,11.30395
1840.0,12.00639
1850.0,11.29719
1871.0,11.27922
1881.0,11.98715
1890.0,11.98715
1900.0,11.63553
1910.0,12.12997
1921.0,11.95977
1931.0,12.11553
1941.0,11.60933
1950.0,11.24568
1970.0,10.69442
1970.0,10.69442
1990.0,12.06877
2000.0,11.51019
2010.0,11.35648
2040.0,11.95179
2050.0,12.03122
2060.0,11.57161
2070.0,12.00694
2080.0,11.83459
2090.0,10.9288
2100.0,11.52793
2110.0,11.97618
2120.0,11.80749
2130.0,11.79767
2140.0,11.48459
2150.0,11.94122
2160.0,11.75123
2170.0,11.7488
2180.0,12.54129
2190.0,11.72209
2200.0,11.65705
2210.0,11.67144
2220.0,11.42775
2230.0,11.81618
2240.0,12.40168
2250.0,12.4998
2260.0,11.9644
2270.0,11.57144
2280.0,11.31194
2290.0,12.44125
2300.0,11.91163
2310.0,12.40336
2320.0,11.50339
2330.0,11.44767
2340.0,11.80995
2350.0,12.31087
2360.0,12.16257
2370.0,12.28611
2380.0,11.70274
2390.0,12.23198
2400.0,12.08119
2410.0,12.2173
2420.0,11.71725
2430.0,12.20754
2441.0,12.04783
2450.0,12.20022
2460.0,11.69309
2471.0,11.31296
2481.0,12.02846
2491.0,12.17591
2500.0,12.16136
