_time,_left_vel
10.0,0.9267891
20.0,1.850041
30.0,2.765097
40.0,3.673604
50.0,3.22731
60.0,4.128026
70.0,4.01262
80.0,5.46212
90.0,4.550817
100.0,4.943342
110.0,5.457565
120.0,4.536622
130.0,5.449613
140.0,5.745534
150.0,5.573588
160.0,5.423646
170.0,5.564449
180.0,5.607183
190.0,5.409078
200.0,6.288504
210.0,5.385711
220.0,4.639859
230.0,5.381282
240.0,6.252459
270.0,5.335223
300.0,5.641533
320.0,4.091255
371.0,6.147999
390.0,5.230757
400.0,5.034991
460.0,5.399039
470.0,5.224494
501.0,5.386818
510.0,5.214088
520.0,4.996934
590.0,5.195463
611.0,5.191342
621.0,5.355961
630.0,5.187228
650.0,5.425894
660.0,5.566646
670.0,5.566646
690.0,4.621185
710.0,5.518537
740.0,5.763967
770.0,5.46098
850.0,5.416913
890.0,5.383495
900.0,5.677186
920.0,5.349395
960.0,5.136948
970.0,5.324372
1010.0,6.161643
1040.0,5.059512
1050.0,5.263357
1120.0,5.018775
1140.0,5.394588
1220.0,5.202691
1230.0,5.202691
1340.0,5.021086
1350.0,4.626085
1360.0,4.843652
1400.0,5.478121
1410.0,5.604268
1420.0,5.765055
1440.0,5.588886
1450.0,5.588886
1490.0,5.430396
1550.0,5.390146
1560.0,5.376862
1570.0,5.362544
1580.0,5.665603
1620.0,5.645704
1641.0,4.427073
1710.0,5.263357
1750.0,5.233894
1760.0,5.025712
1770.0,5.232848
1790.0,5.228668
1871.0,5.207865
1910.0,5.197526
1970.0,6.37602
1970.0,6.37602
1990.0,5.569015
2020.0,4.621185
2050.0,5.62077
2060.0,5.786901
2090.0,5.600158
2120.0,5.447345
2140.0,4.922892
2170.0,5.422523
2260.0,5.531363
2280.0,6.167242
2290.0,6.220623
2380.0,5.436034
2410.0,5.239131
2430.0,5.234941
2440.0,5.021086
2450.0,5.228668
2470.0,5.222409
2481.0,5.008406
2491.0,5.217206
2501.0,5.386818
