_time,_left_vel
11.0,2.781549
21.0,7.534105
31.0,9.703462
41.0,12.87387
51.0,14.7192
61.0,16.95729
71.0,18.2757
81.0,19.1935
91.0,19.98957
101.0,21.41306
111.0,22.38012
121.0,22.70199
131.0,23.94799
141.0,23.81189
151.0,24.47231
161.0,24.3963
171.0,24.41146
181.0,25.14884
191.0,25.25802
201.0,25.16438
211.0,25.13849
221.0,24.92734
231.0,25.25802
241.0,25.80016
251.0,25.89774
261.0,25.81302
271.0,24.89771
281.0,25.71501
291.0,26.68699
301.0,26.61682
311.0,26.58942
321.0,26.58692
331.0,26.34857
342.0,26.36208
351.0,26.38043
361.0,26.35836
371.0,26.33797
391.0,25.27694
401.0,26.17591
411.0,26.20614
421.0,26.13848
431.0,26.16424
441.0,25.87147
451.0,26.14856
461.0,26.09535
471.0,26.12768
481.0,26.06166
491.0,25.23158
501.0,26.04701
511.0,26.08083
522.0,26.99581
532.0,26.04969
542.0,25.98283
551.0,26.92873
561.0,25.94246
571.0,25.99795
581.0,26.84571
592.0,26.82726
602.0,26.87879
611.0,25.94642
621.0,25.89774
642.0,27.5891
646.0,26.37173
652.0,25.59134
661.0,26.88667
671.0,26.01087
681.0,25.88412
691.0,25.92875
701.0,25.83821
711.0,25.7586
721.0,25.54852
731.0,25.60206
741.0,25.36816
751.0,25.50586
761.0,26.3669
771.0,25.58196
781.0,26.31976
791.0,26.34528
801.0,26.29054
811.0,26.26326
821.0,26.27875
831.0,26.24147
841.0,26.18175
851.0,26.15469
861.0,26.14236
871.0,26.11151
881.0,26.02558
891.0,26.00953
901.0,25.90058
911.0,25.88715
921.0,25.79406
931.0,25.86069
942.0,25.83281
951.0,25.80269
961.0,26.69327
971.0,25.724
981.0,25.62354
992.0,26.57322
1001.0,26.41975
1011.0,26.41237
1021.0,26.34528
1031.0,26.33797
1041.0,25.29756
1051.0,26.22189
1061.0,26.18716
1071.0,26.21139
1081.0,26.15178
1091.0,26.18517
1101.0,26.12229
1111.0,26.16424
1121.0,26.09763
1132.0,25.2618
1142.0,26.07384
1152.0,26.11205
1162.0,26.02579
1171.0,26.06006
1181.0,26.03093
1191.0,26.05487
1201.0,25.97811
1211.0,26.03415
1222.0,25.98816
1232.0,26.00828
1242.0,26.90948
1251.0,25.98763
1261.0,25.91896
1271.0,25.96186
1282.0,25.85968
1311.0,26.30621
1321.0,25.955
1331.0,26.00602
1341.0,25.9373
1351.0,25.8896
1361.0,26.64009
1371.0,26.68981
1381.0,26.7426
1391.0,25.54852
1401.0,26.47204
1411.0,25.61481
1421.0,25.43388
1431.0,25.46864
1441.0,26.35077
1451.0,26.35625
1461.0,26.34857
1471.0,25.39452
1481.0,26.24147
1491.0,26.23059
1501.0,26.18158
1511.0,26.21807
1521.0,26.13848
1531.0,26.10612
1541.0,26.02172
1551.0,25.9935
1561.0,25.91663
1571.0,26.79625
1581.0,25.89989
1591.0,25.87656
1602.0,26.69243
1611.0,25.81321
1622.0,26.61055
1631.0,25.75542
1641.0,26.59315
1651.0,26.57322
1661.0,25.3998
1671.0,25.5268
1681.0,25.36226
1691.0,26.35918
1701.0,26.28508
1711.0,26.32208
1721.0,26.19404
1731.0,26.21139
1741.0,26.16009
1751.0,26.18517
1761.0,26.12167
1771.0,26.16424
1781.0,26.10074
1791.0,25.2618
1802.0,26.06765
1811.0,26.11726
1821.0,26.05237
1832.0,26.08083
1842.0,26.00788
1851.0,26.05487
1861.0,26.90641
1871.0,26.03415
1881.0,25.96622
1891.0,26.00828
1902.0,25.95618
1912.0,25.98247
1922.0,25.89509
1931.0,25.96701
1941.0,25.90304
1952.0,25.0716
1971.0,27.80549
1981.0,25.85126
1991.0,26.86374
2001.0,25.97216
2011.0,25.89509
2021.0,25.74865
2031.0,25.7369
2041.0,26.60563
2051.0,26.43333
2061.0,26.5409
2071.0,26.43333
2081.0,26.37273
2091.0,26.40575
2101.0,26.41237
2111.0,26.35625
2121.0,26.31788
2131.0,25.39452
2141.0,26.27875
2151.0,26.26871
2161.0,26.19801
2171.0,25.30511
2181.0,26.11791
2191.0,26.13308
2201.0,25.98283
2211.0,26.04701
2221.0,25.95561
2231.0,25.95618
2241.0,25.87127
2251.0,25.88715
2261.0,25.80894
2271.0,25.81848
2282.0,25.7764
2291.0,25.78166
2302.0,25.72335
2311.0,25.69266
2321.0,26.58069
2332.0,26.39733
2341.0,26.34528
2351.0,26.38043
2361.0,26.32778
2371.0,26.32208
2381.0,25.20071
2391.0,26.21664
2401.0,25.15174
2411.0,26.19041
2421.0,26.13308
2431.0,26.16424
2441.0,26.10964
2451.0,26.78476
2461.0,26.98963
2471.0,26.98783
2481.0,26.05567
2491.0,26.08603
2501.0,26.04165
