_time,_right_vel
10.0,2.447638
20.0,6.707645
30.0,10.19035
40.0,13.77721
50.0,15.70205
60.0,17.04007
70.0,18.35257
80.0,20.12434
90.0,20.88099
100.0,21.4942
110.0,22.45415
120.0,22.81118
130.0,23.72859
140.0,23.90185
150.0,23.98309
160.0,24.51305
170.0,23.93048
180.0,24.63762
190.0,24.47231
200.0,24.40135
210.0,24.36098
220.0,23.66493
230.0,25.21632
240.0,25.10233
250.0,24.22075
260.0,24.08117
270.0,25.00472
280.0,23.77551
290.0,24.11663
301.0,25.06263
310.0,24.02809
320.0,24.68641
330.0,24.69639
340.0,24.67736
350.0,24.73139
360.0,24.46152
370.0,24.67644
380.0,24.5898
390.0,24.5821
400.0,25.30343
410.0,24.56233
420.0,24.44185
430.0,24.52781
440.0,24.23507
451.0,24.50813
461.0,24.39125
471.0,24.48358
481.0,24.17353
491.0,24.45907
501.0,25.2528
511.0,24.4395
521.0,25.14014
530.0,25.28199
540.0,24.30069
550.0,25.2618
560.0,25.07081
570.0,23.49147
580.0,24.25566
590.0,25.21147
601.0,25.02479
610.0,25.03053
630.0,24.30337
641.0,24.73539
650.0,24.69806
660.0,23.90862
670.0,25.30646
680.0,24.42159
690.0,25.04458
700.0,24.76714
710.0,24.30369
720.0,23.84831
730.0,24.79161
740.0,24.42356
750.0,24.70841
760.0,24.67219
770.0,24.8691
780.0,24.77753
790.0,24.84169
800.0,24.60521
810.0,23.97869
820.0,24.6934
830.0,24.52836
840.0,24.49776
850.0,24.46723
860.0,24.17062
870.0,24.39125
880.0,24.33582
890.0,24.55756
900.0,25.09259
910.0,24.21577
920.0,23.87165
930.0,25.07657
940.0,25.11848
950.0,25.02008
960.0,24.08212
970.0,24.05262
980.0,24.99317
990.0,24.90786
1000.0,24.51879
1010.0,24.72638
1020.0,24.64123
1030.0,24.70138
1040.0,24.42159
1051.0,24.78721
1061.0,24.48249
1070.0,24.56233
1080.0,24.2744
1090.0,24.53767
1100.0,24.42159
1110.0,24.51305
1120.0,24.20706
1130.0,24.49339
1140.0,24.39125
1150.0,24.46887
1160.0,24.15681
1170.0,24.44928
1180.0,24.3308
1190.0,25.2921
1201.0,25.11121
1211.0,25.25172
1221.0,25.18513
1230.0,24.84242
1240.0,25.06505
1250.0,24.35181
1260.0,24.25066
1270.0,25.19139
1281.0,23.99628
1291.0,24.30821
1302.0,24.39605
1310.0,25.46687
1320.0,24.27699
1330.0,24.47181
1340.0,23.85515
1350.0,24.42159
1360.0,24.05564
1370.0,24.31724
1380.0,24.20359
1390.0,24.74994
1400.0,24.77076
1410.0,24.10676
1420.0,23.9743
1430.0,24.88282
1440.0,23.74846
1450.0,24.85082
1460.0,24.7541
1470.0,24.79615
1480.0,24.56416
1490.0,24.74173
1500.0,24.64226
1510.0,24.50286
1520.0,24.45707
1530.0,23.51221
1540.0,24.06052
1550.0,24.56202
1560.0,25.03461
1570.0,24.21577
1580.0,25.19333
1590.0,24.19588
1600.0,24.13639
1610.0,24.3849
1620.0,24.928
1631.0,24.35416
1640.0,24.69223
1650.0,24.01829
1660.0,24.09344
1670.0,24.76146
1680.0,24.47867
1690.0,24.71638
1700.0,24.59493
1710.0,24.67146
1720.0,24.30821
1730.0,24.57716
1740.0,24.46215
1750.0,24.53767
1760.0,24.25753
1771.0,24.50813
1781.0,24.40135
1791.0,24.48848
1801.0,24.19588
1811.0,24.46887
1821.0,24.36602
1831.0,24.44928
1841.0,24.1401
1851.0,24.42484
1860.0,25.26685
1870.0,24.40532
1880.0,24.09012
1890.0,24.38584
1900.0,25.16956
1910.0,24.36638
1921.0,24.03483
1931.0,24.33241
1941.0,24.22075
1950.0,25.17135
1970.0,25.90791
1970.0,25.90791
1980.0,23.91366
1990.0,24.50846
2000.0,24.46266
2010.0,24.17869
2020.0,24.83455
2030.0,24.32176
2040.0,24.93328
2050.0,24.95628
2060.0,24.90007
2070.0,24.07572
2080.0,23.7883
2090.0,24.69288
2100.0,23.9743
2110.0,23.74349
2120.0,24.62578
2130.0,24.61035
2140.0,24.31115
2150.0,24.56416
2160.0,23.6199
2170.0,23.60025
2180.0,24.60983
2190.0,23.87809
2200.0,24.02596
2210.0,24.35595
2220.0,24.47638
2230.0,24.50417
2240.0,24.92734
2250.0,24.20582
2260.0,24.06074
2270.0,24.14134
2280.0,24.80923
2290.0,24.10183
2301.0,25.03017
2310.0,24.90786
2320.0,24.68059
2330.0,24.76146
2340.0,24.65154
2350.0,24.72138
2360.0,24.43868
2370.0,24.6615
2380.0,24.49776
2390.0,24.5821
2400.0,24.28003
2410.0,24.55246
2420.0,24.44692
2430.0,24.53274
2440.0,24.22947
2450.0,24.50813
2460.0,24.3963
2470.0,24.48358
2480.0,24.17912
2490.0,25.33261
2500.0,24.35091
