_time,_right_vel
10.0,1.854366
20.0,6.472401
30.0,8.087716
40.0,11.0394
50.0,12.90924
60.0,14.02998
70.0,15.24515
80.0,15.49217
90.0,16.40347
100.0,17.29517
110.0,17.58438
120.0,18.16916
130.0,19.08159
140.0,18.88174
150.0,19.10596
160.0,18.98669
170.0,18.98669
180.0,18.86163
190.0,19.8538
200.0,19.79648
210.0,19.75427
220.0,19.47084
230.0,19.73543
240.0,19.63134
250.0,19.64656
261.0,19.40692
270.0,20.45586
280.0,19.54802
290.0,20.45586
300.0,19.2702
310.0,19.49494
320.0,19.44714
331.0,20.20057
340.0,20.01107
350.0,20.22499
360.0,19.26188
370.0,19.30286
380.0,19.93626
391.0,20.10345
401.0,19.12855
411.0,20.08736
421.0,20.7348
431.0,19.19478
441.0,20.09359
451.0,19.17178
460.0,19.81433
470.0,20.02323
480.0,20.06126
490.0,20.01125
500.0,19.7598
510.0,19.99132
520.0,20.00607
530.0,19.10311
541.0,19.71921
551.0,19.95158
561.0,19.96487
570.0,19.93572
580.0,19.68282
590.0,19.91199
601.0,19.9193
610.0,19.92385
620.0,19.64254
630.0,19.88043
640.0,19.31623
650.0,20.04869
660.0,20.12293
670.0,19.46671
680.0,20.10307
690.0,19.42132
700.0,19.97325
710.0,19.37461
720.0,20.09065
730.0,19.18948
740.0,20.06368
750.0,20.0445
760.0,19.11343
770.0,19.18296
780.0,18.79527
790.0,19.08556
800.0,19.94869
810.0,19.03402
820.0,18.91159
830.0,19.90732
840.0,18.96704
850.0,18.94352
860.0,19.57065
870.0,18.88495
880.0,19.74761
890.0,18.94352
900.0,19.42544
910.0,19.63451
920.0,19.6174
930.0,19.60243
940.0,19.32302
950.0,19.57844
960.0,19.5158
970.0,19.50286
980.0,20.14969
990.0,19.47517
1001.0,19.36907
1010.0,18.47747
1020.0,19.08159
1030.0,20.19244
1040.0,19.23507
1051.0,20.04723
1061.0,18.95919
1071.0,19.21399
1081.0,20.12139
1091.0,19.19094
1101.0,18.91614
1111.0,18.30399
1121.0,19.07573
1130.0,19.16413
1140.0,18.88106
1150.0,20.01924
1160.0,20.03822
1170.0,19.12594
1180.0,19.74354
1190.0,19.10311
1201.0,18.9927
1211.0,19.09171
1221.0,19.70302
1230.0,19.07653
1240.0,18.95795
1250.0,19.04625
1260.0,18.77275
1271.0,19.03115
1281.0,19.91476
1290.0,19.01984
1305.0,19.24052
1310.0,19.2796
1320.0,18.70925
1330.0,19.48741
1340.0,19.45431
1350.0,18.49257
1360.0,19.34342
1370.0,19.37461
1380.0,18.2844
1390.0,19.20557
1400.0,19.14538
1410.0,19.14138
1420.0,19.03996
1430.0,19.11742
1440.0,19.08954
1450.0,19.08954
1460.0,18.97555
1470.0,19.04985
1480.0,19.01427
1490.0,19.89907
1500.0,19.63986
1510.0,19.06422
1520.0,18.93177
1530.0,18.91614
1540.0,18.71623
1550.0,19.72569
1560.0,18.66884
1570.0,19.64254
1580.0,19.38024
1590.0,19.63451
1600.0,18.52791
1610.0,18.69233
1620.0,19.29454
1630.0,19.54257
1640.0,19.43802
1650.0,18.60126
1660.0,19.96114
1670.0,19.36907
1680.0,19.2798
1691.0,19.33007
1701.0,19.93213
1710.0,19.30286
1720.0,19.1418
1730.0,19.21784
1740.0,18.9396
1750.0,19.19862
1760.0,20.09822
1770.0,19.17944
1780.0,18.90443
1790.0,19.16413
1800.0,19.06257
1811.0,19.13738
1821.0,19.76387
1831.0,19.12594
1841.0,19.01884
1850.0,18.95973
1860.0,19.73543
1870.0,19.0993
1881.0,18.97097
1891.0,19.07653
1901.0,18.78815
1910.0,19.0576
1920.0,18.9363
1930.0,19.0387
1941.0,19.65059
1951.0,19.02361
1970.0,19.27831
1970.0,19.27831
1980.0,19.37819
1990.0,19.52998
2000.0,18.51612
2010.0,19.46464
2020.0,19.16296
2030.0,19.31081
2040.0,18.55017
2050.0,19.20557
2060.0,19.0141
2070.0,19.13738
2080.0,19.11343
2090.0,19.11742
2100.0,19.0123
2110.0,19.08159
2120.0,19.07364
2130.0,19.04589
2140.0,19.69157
2150.0,19.92385
2160.0,18.98669
2170.0,19.06422
2180.0,19.57901
2190.0,19.82509
2200.0,18.85775
2210.0,18.94352
2220.0,18.53972
2230.0,18.79585
2240.0,19.63134
2250.0,19.63049
2261.0,18.54332
2270.0,18.68851
2280.0,19.5388
2290.0,19.54257
2300.0,19.23783
2310.0,18.59748
2320.0,19.35633
2330.0,19.37298
2341.0,19.15138
2351.0,19.34175
2360.0,20.25214
2370.0,18.42916
2380.0,18.90833
2390.0,19.22939
2400.0,19.13297
2410.0,20.08334
2420.0,18.92786
2430.0,19.19094
2440.0,20.08434
2450.0,19.17178
2460.0,18.89664
2470.0,19.14502
2481.0,19.04506
2490.0,19.12976
2501.0,19.74761
