_time,_left_vel
10.0,2.437611
20.0,5.8456
30.0,10.13869
40.0,11.29141
50.0,13.79925
60.0,14.85527
70.0,16.45157
80.0,17.29671
90.0,18.20707
100.0,19.0169
110.0,20.01942
120.0,19.96529
130.0,20.89453
140.0,21.05343
150.0,21.74865
160.0,21.67662
170.0,21.69908
180.0,22.0907
190.0,22.55647
200.0,22.46819
210.0,22.4497
220.0,22.75527
230.0,23.32368
240.0,24.08704
251.0,23.58128
260.0,23.96924
270.0,23.12401
280.0,23.99383
291.0,23.50084
300.0,22.95036
310.0,23.93048
321.0,22.99745
330.0,23.72326
340.0,23.62975
350.0,22.85383
360.0,23.30618
370.0,24.56233
380.0,23.57573
390.0,23.60443
400.0,23.15561
410.0,22.71199
420.0,23.43934
430.0,23.55723
440.0,23.10231
450.0,23.5337
460.0,23.40549
470.0,24.38097
481.0,23.05454
491.0,23.48679
501.0,23.34768
511.0,23.46807
521.0,22.99116
530.0,23.44472
540.0,23.30452
550.0,23.42607
561.0,23.93594
571.0,23.39351
581.0,23.25674
590.0,24.25512
600.0,23.89771
610.0,23.35641
621.0,23.20917
630.0,22.88108
640.0,24.07206
650.0,22.78736
660.0,24.1324
670.0,24.10676
680.0,23.5023
690.0,23.98951
700.0,23.60293
710.0,23.40665
720.0,23.72363
730.0,24.6877
740.0,24.29938
750.0,23.68895
760.0,23.64945
770.0,24.57441
780.0,23.21478
790.0,23.62482
800.0,23.57083
810.0,23.56593
820.0,23.77609
830.0,23.86503
840.0,23.47329
850.0,23.79129
860.0,23.30835
870.0,23.39583
880.0,23.32368
890.0,24.22075
900.0,23.82066
910.0,23.58553
920.0,23.73615
930.0,24.07228
940.0,23.00845
950.0,23.51351
960.0,23.6244
971.0,24.232
980.0,22.87336
990.0,23.02545
1000.0,23.36587
1010.0,23.75196
1020.0,22.71618
1030.0,23.70417
1040.0,23.27375
1050.0,23.53841
1060.0,23.46843
1070.0,23.58553
1080.0,24.13454
1090.0,23.55252
1100.0,23.42482
1110.0,23.53841
1120.0,24.08458
1130.0,23.51961
1140.0,23.37655
1150.0,23.49616
1160.0,24.02931
1170.0,23.47275
1180.0,23.33328
1191.0,23.44939
1201.0,23.9743
1210.0,24.00178
1220.0,23.29017
1230.0,23.40746
1240.0,22.93861
1250.0,23.38422
1261.0,23.24245
1270.0,22.91766
1280.0,23.88136
1290.0,23.3379
1305.0,23.48168
1310.0,22.78955
1320.0,23.59433
1330.0,23.1845
1340.0,23.71957
1350.0,24.31272
1360.0,23.92879
1370.0,23.41532
1380.0,24.10217
1390.0,24.04476
1400.0,23.72363
1410.0,22.78736
1420.0,24.31704
1430.0,23.66425
1440.0,23.62482
1450.0,23.63467
1460.0,23.83431
1470.0,23.57573
1480.0,23.5366
1490.0,23.51221
1500.0,23.73595
1510.0,23.4976
1520.0,23.42966
1530.0,23.41032
1540.0,22.78923
1550.0,23.3141
1560.0,24.16114
1570.0,24.11169
1580.0,23.99966
1590.0,24.09197
1600.0,23.65781
1610.0,23.13816
1620.0,23.89351
1630.0,23.98895
1640.0,23.52471
1650.0,23.71371
1660.0,23.12011
1670.0,22.88148
1680.0,24.34211
1690.0,23.71849
1700.0,23.55614
1711.0,23.68987
1721.0,23.16631
1731.0,23.59025
1741.0,23.44903
1751.0,23.56666
1761.0,24.11231
1771.0,23.53841
1781.0,23.40549
1791.0,23.51492
1801.0,23.05454
1810.0,23.50084
1820.0,23.3573
1830.0,23.47743
1840.0,24.01278
1850.0,24.32757
1860.0,23.3141
1870.0,23.44006
1881.0,23.95237
1891.0,24.2744
1900.0,23.39816
1910.0,23.39351
1920.0,22.91766
1931.0,23.36567
1941.0,23.21867
1950.0,24.21186
1970.0,23.53926
1970.0,23.53926
1980.0,23.99459
1990.0,23.60753
2000.0,24.06585
2010.0,23.51103
2020.0,23.32882
2030.0,23.90862
2040.0,24.18694
2050.0,24.0227
2060.0,23.1476
2070.0,24.01829
2080.0,23.63959
2090.0,23.67412
2100.0,23.05587
2110.0,23.62975
2120.0,23.59534
2130.0,23.57083
2140.0,23.78951
2150.0,23.87809
2160.0,23.04757
2170.0,23.48787
2180.0,24.03747
2190.0,23.42482
2200.0,23.30452
2210.0,23.34288
2220.0,23.90008
2230.0,23.63237
2240.0,23.753
2250.0,23.20442
2260.0,22.98421
2270.0,23.13816
2280.0,23.63552
2290.0,23.10518
2300.0,23.82327
2310.0,23.0348
2320.0,23.87712
2330.0,22.89534
2340.0,23.61007
2351.0,24.03821
2360.0,24.30256
2370.0,22.81706
2380.0,23.40066
2390.0,23.59025
2400.0,23.1396
2410.0,22.69836
2420.0,24.32577
2430.0,23.55252
2440.0,23.09168
2450.0,22.65756
2460.0,24.29567
2470.0,23.50084
2481.0,23.03867
2491.0,24.34211
2501.0,23.33808
