_time,_right_vel
10.0,2.781549
20.0,4.627066
30.0,6.467775
40.0,8.283044
50.0,9.683721
60.0,10.73084
70.0,11.23327
80.0,11.84695
90.0,12.75559
100.0,13.17478
110.0,12.78629
120.0,13.62687
130.0,13.62403
140.0,13.95607
150.0,14.2205
160.0,14.46605
170.0,13.55912
180.0,14.66663
190.0,14.43614
200.0,14.39744
210.0,15.01053
220.0,14.82863
230.0,15.25324
240.0,14.4652
250.0,15.17833
260.0,15.36381
270.0,15.11339
281.0,15.11955
290.0,15.11646
300.0,14.68514
310.0,15.06734
320.0,14.32611
331.0,14.04974
350.0,14.95192
360.0,14.19956
370.0,14.91584
380.0,14.4991
391.0,13.98781
401.0,15.10497
411.0,14.85015
421.0,15.32572
431.0,13.95984
441.0,14.06551
451.0,14.81456
461.0,14.39447
470.0,14.80273
480.0,15.04248
490.0,14.78798
500.0,14.37076
510.0,14.77914
520.0,14.00746
530.0,14.75562
541.0,14.3383
551.0,14.74389
561.0,14.97023
570.0,14.73803
580.0,14.31478
590.0,15.58639
601.0,14.93948
610.0,14.9463
620.0,15.17212
630.0,14.69423
640.0,15.02005
650.0,14.58391
660.0,14.25923
670.0,15.43533
680.0,14.79093
690.0,14.56599
700.0,14.97708
710.0,14.72541
720.0,14.60527
730.0,14.62362
740.0,14.79093
750.0,15.48893
760.0,14.55958
770.0,14.38722
780.0,15.0427
790.0,14.53835
800.0,14.51116
810.0,14.50211
820.0,14.71255
830.0,14.47505
840.0,14.45707
850.0,15.3384
860.0,14.69132
870.0,15.28467
880.0,15.25637
890.0,14.35304
900.0,14.80661
910.0,14.28841
920.0,14.45835
930.0,14.25049
940.0,14.72231
950.0,14.23596
960.0,14.38345
970.0,14.19544
980.0,14.65124
991.0,14.04754
1000.0,15.24927
1010.0,14.95795
1020.0,14.52928
1030.0,14.93086
1040.0,15.18206
1051.0,13.94869
1061.0,14.43912
1071.0,14.85312
1081.0,15.09452
1091.0,14.82937
1101.0,14.4123
1111.0,14.82048
1121.0,15.06326
1131.0,14.79978
1141.0,15.28782
1150.0,14.78798
1160.0,15.02867
1170.0,14.77914
1180.0,14.36189
1190.0,14.77031
1201.0,14.9908
1211.0,14.74975
1221.0,14.32359
1230.0,14.7351
1240.0,14.96681
1260.0,15.2001
1271.0,13.84632
1281.0,14.93607
1290.0,14.69715
1305.0,14.96485
1310.0,14.90086
1320.0,14.63657
1330.0,13.92254
1340.0,14.82233
1350.0,14.78779
1360.0,14.73784
1370.0,14.53096
1380.0,14.96282
1390.0,14.62975
1400.0,15.4954
1410.0,14.58086
1420.0,14.80526
1430.0,14.55654
1440.0,13.63823
1450.0,14.54138
1460.0,13.70126
1480.0,15.3957
1490.0,15.37018
1500.0,14.7299
1510.0,15.08976
1520.0,14.63501
1530.0,14.40635
1540.0,15.60931
1550.0,14.19736
1560.0,14.51331
1570.0,14.27672
1580.0,14.7659
1590.0,15.15972
1610.0,14.23887
1620.0,14.7037
1630.0,14.20989
1640.0,14.32947
1650.0,14.16951
1660.0,14.52021
1670.0,14.96399
1680.0,15.22444
1691.0,14.93386
1700.0,14.4991
1710.0,14.91584
1720.0,14.10448
1730.0,14.8561
1740.0,14.43614
1760.0,15.07714
1770.0,14.82344
1780.0,14.40041
1790.0,14.8116
1801.0,15.04594
1811.0,14.79388
1821.0,14.37076
1831.0,13.90978
1841.0,15.01143
1850.0,14.77031
1860.0,15.24383
1870.0,14.75562
1881.0,13.98181
1890.0,14.74389
1901.0,14.32065
1910.0,14.97023
1920.0,14.95655
1930.0,14.71464
1940.0,14.28549
1951.0,14.70006
1970.0,14.98688
1970.0,14.98688
1980.0,15.07565
1990.0,14.64748
2000.0,14.81289
2010.0,14.80347
2020.0,15.01635
2030.0,14.7068
2040.0,14.52021
2050.0,14.63282
2060.0,14.87014
2070.0,14.58696
2080.0,14.55958
2090.0,14.57173
2100.0,14.78735
2110.0,14.54138
2120.0,14.52928
2130.0,14.51417
2140.0,14.72319
2150.0,14.4991
2160.0,14.46605
2170.0,15.09525
2180.0,14.91734
2190.0,15.32572
2200.0,14.36485
2210.0,15.00238
2220.0,14.83808
2230.0,15.21569
2240.0,15.49842
2250.0,15.17212
2261.0,14.51216
2270.0,15.13497
2280.0,14.39362
2290.0,15.10723
2300.0,14.66047
2310.0,15.06122
2320.0,14.25257
2330.0,14.0866
2341.0,15.15874
2350.0,14.93687
2360.0,14.18308
2370.0,14.91584
2380.0,14.40635
2390.0,14.8561
2400.0,15.10497
2410.0,14.84124
2420.0,14.42421
2430.0,13.95705
2440.0,15.07366
2450.0,14.8116
2460.0,14.39447
2470.0,14.80273
2481.0,14.02676
2490.0,14.78503
2501.0,14.35894
