_time,_left_vel
11.0,2.78214
21.0,4.7812
31.0,7.373592
41.0,10.11519
51.0,10.4907
61.0,11.8519
71.0,13.70965
81.0,14.81245
91.0,15.47923
101.0,15.45988
111.0,15.46632
121.0,15.82443
131.0,16.35565
141.0,16.31149
151.0,16.31488
161.0,17.20747
171.0,17.49464
181.0,16.25074
191.0,17.45647
201.0,17.68412
211.0,17.9413
221.0,17.02323
231.0,17.04073
241.0,17.59822
251.0,16.97096
261.0,17.81675
271.0,17.23705
281.0,17.47905
291.0,17.79133
301.0,16.86051
311.0,16.83654
321.0,17.68155
331.0,17.71189
341.0,18.27783
352.0,17.8253
361.0,17.26429
371.0,17.56571
381.0,18.21002
391.0,18.35533
401.0,17.14292
411.0,17.47076
421.0,18.10507
431.0,17.45329
441.0,18.01165
451.0,18.30765
461.0,18.05928
471.0,17.41846
481.0,17.97826
491.0,17.40109
502.0,18.01372
512.0,17.38029
522.0,17.93761
531.0,17.363
541.0,17.98073
551.0,18.21666
561.0,17.91183
571.0,17.33541
582.0,17.93966
591.0,17.94786
601.0,17.87148
611.0,18.1697
622.0,17.8947
632.0,18.1517
641.0,17.69752
651.0,18.07882
661.0,17.87248
671.0,17.62022
681.0,17.59405
691.0,17.82602
701.0,18.4262
711.0,18.56046
721.0,17.36399
731.0,17.65553
741.0,17.27149
751.0,17.31116
761.0,18.12217
771.0,18.19567
781.0,18.15404
791.0,18.17294
801.0,18.07099
811.0,18.31656
821.0,18.09757
831.0,17.49146
841.0,17.75228
851.0,17.15001
861.0,18.02281
871.0,17.99309
881.0,17.90582
891.0,17.93761
901.0,17.87514
911.0,17.84955
921.0,17.56488
931.0,17.82767
941.0,17.78408
952.0,18.02055
961.0,17.46432
971.0,18.62773
981.0,17.69752
991.0,17.70829
1001.0,17.2931
1012.0,18.4812
1021.0,17.23832
1031.0,18.44029
1041.0,17.22842
1051.0,17.54452
1061.0,18.13015
1071.0,17.47776
1081.0,18.03399
1091.0,17.45678
1101.0,18.08423
1111.0,18.31131
1121.0,17.99679
1131.0,17.42193
1141.0,18.05098
1151.0,18.27479
1161.0,17.97455
1171.0,17.39069
1182.0,17.99721
1192.0,17.36646
1201.0,17.64427
1211.0,18.2239
1221.0,17.96839
1231.0,18.21304
1241.0,17.90081
1252.0,18.19134
1262.0,17.91919
1271.0,18.1733
1281.0,17.86051
1291.0,18.1589
1307.0,17.06923
1311.0,17.92113
1321.0,18.22028
1331.0,18.53578
1341.0,18.20047
1351.0,17.82602
1361.0,18.31929
1371.0,17.48642
1381.0,17.45697
1391.0,18.43093
1401.0,18.18396
1411.0,17.61018
1421.0,18.19947
1431.0,18.3904
1441.0,18.10166
1451.0,18.36012
1461.0,18.15404
1471.0,18.33329
1481.0,17.79801
1491.0,18.08257
1501.0,18.05264
1511.0,18.07882
1521.0,17.97624
1531.0,18.2003
1541.0,18.71332
1551.0,17.93392
1561.0,17.87581
1571.0,17.85686
1581.0,17.84225
1591.0,17.83861
1601.0,18.51917
1611.0,17.79859
1621.0,18.65807
1631.0,17.76597
1641.0,17.68155
1651.0,18.60503
1661.0,17.21831
1672.0,17.6118
1681.0,17.26789
1691.0,17.57987
1701.0,18.2058
1711.0,18.41805
1721.0,18.05638
1731.0,17.47426
1741.0,18.10925
1751.0,18.31863
1761.0,18.02281
1771.0,17.44283
1781.0,18.07591
1791.0,18.29303
1801.0,17.98567
1811.0,18.28208
1821.0,19.02757
1831.0,17.39415
1841.0,17.95237
1851.0,18.24931
1862.0,17.98484
1872.0,18.23116
1881.0,18.20942
1891.0,18.2058
1901.0,17.95196
1911.0,18.18773
1922.0,18.77275
1932.0,18.1733
1942.0,17.9151
1951.0,18.1589
1981.0,18.57063
1991.0,17.90916
2001.0,17.57717
2011.0,17.57912
2021.0,17.00732
2031.0,18.39124
2041.0,18.18497
2051.0,17.64904
2061.0,18.25276
2071.0,18.23369
2081.0,18.13243
2091.0,18.39377
2101.0,18.17673
2111.0,18.17294
2121.0,18.08802
2131.0,17.5426
2141.0,18.10507
2151.0,18.30988
2161.0,17.77512
2171.0,18.07508
2181.0,18.01537
2191.0,18.02281
2201.0,17.88914
2211.0,17.96345
2221.0,17.91919
2231.0,17.90081
2241.0,18.46128
2251.0,18.74586
2261.0,17.46562
2271.0,18.69233
2281.0,18.3835
2291.0,18.67328
2301.0,17.40824
2312.0,17.95285
2321.0,18.30637
2331.0,18.49239
2341.0,18.25234
2352.0,17.8348
2362.0,18.13517
2371.0,18.42546
2381.0,18.07175
2391.0,18.35533
2401.0,18.04518
2411.0,18.33696
2421.0,18.0884
2431.0,18.31497
2441.0,18.01165
2451.0,17.42541
2462.0,18.04683
2471.0,17.40456
2482.0,17.97085
2492.0,17.39415
2502.0,18.00959
