_time,_right_vel
10.0,2.438065
20.0,6.680686
30.0,9.220885
40.0,12.10465
50.0,13.79925
60.0,14.85527
70.0,16.45157
80.0,17.30754
90.0,18.21466
100.0,19.0123
110.0,20.01942
120.0,19.06967
130.0,20.89453
140.0,20.00076
150.0,19.93626
160.0,20.79495
170.0,20.80357
180.0,21.26455
190.0,20.75195
200.0,21.59616
210.0,21.56502
220.0,21.12202
230.0,21.52955
240.0,20.53959
251.0,22.0092
260.0,21.21252
270.0,21.34524
280.0,21.34959
291.0,21.93018
300.0,22.02771
310.0,22.15785
321.0,22.12639
330.0,21.0831
340.0,20.90759
350.0,21.98812
360.0,21.2944
370.0,21.05343
380.0,21.75769
390.0,21.85596
400.0,22.14885
410.0,20.96491
420.0,21.64526
430.0,20.93976
440.0,21.09827
450.0,21.79047
460.0,20.69632
470.0,21.76438
481.0,21.06432
491.0,21.74703
501.0,21.55171
511.0,20.86051
521.0,22.01172
530.0,20.83975
540.0,20.61554
550.0,20.82318
561.0,21.95634
571.0,21.66926
581.0,21.46776
590.0,20.78598
600.0,20.91527
610.0,21.62202
621.0,21.42384
630.0,21.89124
640.0,22.00523
650.0,21.86673
660.0,21.35243
670.0,21.31615
680.0,21.07886
690.0,21.217
700.0,21.42034
710.0,21.79643
720.0,20.99946
730.0,21.94463
740.0,21.12478
750.0,21.86673
760.0,20.93376
770.0,21.84392
780.0,21.10434
790.0,21.80753
800.0,21.76221
810.0,21.75317
820.0,21.3165
830.0,22.26997
840.0,21.67213
850.0,21.39661
860.0,21.42994
870.0,21.57835
880.0,21.53398
890.0,21.52955
900.0,20.72837
910.0,21.21933
920.0,21.68239
930.0,21.37138
940.0,22.09278
950.0,21.15456
960.0,21.58534
971.0,21.87521
980.0,21.05674
990.0,21.25426
1000.0,21.34897
1010.0,21.1086
1020.0,21.80753
1030.0,21.07037
1040.0,22.27735
1050.0,21.79482
1060.0,21.66317
1070.0,20.96491
1080.0,21.13233
1090.0,21.80789
1100.0,20.72196
1110.0,20.92721
1120.0,21.08856
1130.0,21.77742
1140.0,21.57835
1150.0,20.88547
1160.0,21.03048
1170.0,20.86051
1180.0,21.52955
1191.0,21.70808
1201.0,21.99155
1210.0,22.00163
1220.0,21.49862
1230.0,21.67357
1240.0,20.94874
1250.0,21.64776
1261.0,21.45457
1270.0,20.92482
1280.0,21.90123
1290.0,20.74069
1305.0,21.38884
1310.0,21.03229
1320.0,21.95894
1330.0,21.34335
1340.0,20.48508
1350.0,21.07494
1360.0,22.11143
1370.0,21.79643
1380.0,20.77773
1390.0,20.87714
1400.0,20.95999
1410.0,20.96437
1420.0,21.15038
1430.0,21.84848
1440.0,21.81662
1450.0,21.81662
1460.0,21.36869
1470.0,21.77579
1480.0,20.83813
1490.0,20.80788
1500.0,21.27253
1510.0,21.6856
1520.0,20.73909
1530.0,21.62291
1540.0,21.16142
1550.0,21.52071
1560.0,21.48979
1570.0,21.41946
1580.0,21.23047
1590.0,21.41071
1600.0,21.6159
1610.0,21.36702
1620.0,21.13212
1630.0,21.31483
1640.0,21.48916
1650.0,21.07886
1660.0,20.7208
1670.0,22.01031
1680.0,21.31421
1690.0,21.0831
1700.0,21.74413
1711.0,21.93506
1721.0,21.16161
1731.0,21.84283
1741.0,20.74337
1751.0,20.94814
1761.0,21.11285
1771.0,21.79482
1781.0,21.60507
1791.0,21.77307
1801.0,21.06432
1810.0,21.76004
1820.0,21.56058
1830.0,21.73836
1840.0,21.02565
1850.0,20.8522
1860.0,21.51628
1870.0,21.70375
1881.0,21.97141
1891.0,21.67357
1900.0,21.66066
1910.0,21.65636
1920.0,20.93438
1931.0,20.76537
1941.0,21.43262
1950.0,21.61773
1970.0,21.40983
1970.0,21.40983
1980.0,21.217
1990.0,21.15748
2000.0,22.21934
2010.0,21.08277
2020.0,21.65834
2030.0,21.14993
2040.0,21.77629
2050.0,21.6841
2060.0,21.4942
2070.0,21.61646
2080.0,20.93376
2090.0,21.84848
2100.0,21.40902
2110.0,21.81662
2120.0,21.79845
2130.0,21.76673
2140.0,21.33654
2150.0,21.49028
2160.0,20.96743
2170.0,21.6856
2180.0,20.90715
2190.0,20.72623
2200.0,21.54284
2210.0,20.64098
2220.0,20.78268
2230.0,21.25762
2240.0,21.69779
2250.0,21.41946
2260.0,22.06485
2270.0,21.3583
2280.0,21.59552
2290.0,21.32351
2300.0,21.99995
2310.0,22.14885
2320.0,21.15123
2330.0,21.13416
2340.0,20.89018
2351.0,21.71193
2360.0,21.26474
2370.0,21.05766
2380.0,21.5917
2390.0,21.84283
2400.0,21.13721
2410.0,21.82535
2420.0,20.73052
2430.0,20.93558
2440.0,22.09786
2450.0,20.91049
2460.0,20.68778
2470.0,20.88964
2481.0,22.05217
2491.0,20.86467
2501.0,21.54727
