_time,_left_vel
10.0,0.0
20.0,0.9232592
30.0,0.8087717
40.0,1.662218
50.0,1.840288
60.0,1.825276
70.0,1.604753
80.0,1.649338
90.0,1.821466
100.0,1.597702
110.0,2.398309
120.0,2.467478
130.0,1.816537
140.0,1.812011
150.0,2.718017
160.0,3.147384
170.0,2.71351
180.0,1.805264
190.0,1.804891
200.0,1.62993
210.0,1.795237
220.0,1.790816
230.0,1.793761
240.0,1.848083
250.0,1.786417
280.0,1.839512
290.0,1.779496
480.0,2.697294
560.0,2.685673
710.0,1.8399
800.0,1.643436
850.0,1.805638
910.0,2.674697
950.0,2.669243
1040.0,2.719146
1080.0,2.705657
1170.0,2.609123
1240.0,2.686224
1310.0,2.143086
1390.0,1.826805
1510.0,2.7107
1630.0,2.667068
1720.0,2.700633
1730.0,2.621139
1770.0,2.616424
1810.0,1.741498
1850.0,2.607044
1881.0,2.687879
1920.0,2.684021
1960.0,2.67798
2070.0,1.824513
2170.0,2.383895
2330.0,2.633796
2401.0,2.706216
2411.0,2.619566
2441.0,2.701748
2451.0,2.614334
2480.0,2.610163
