_time,_right_vel
10.0,0.8128396
20.0,0.9238457
30.0,1.617843
40.0,1.662218
50.0,0.9201441
60.0,1.827953
70.0,1.604458
80.0,2.473072
90.0,2.7322
100.0,2.396991
110.0,2.398309
120.0,2.466548
130.0,1.816537
140.0,2.720276
150.0,2.718017
160.0,2.098256
170.0,2.712385
180.0,2.709578
190.0,2.707896
200.0,2.445352
210.0,2.695073
220.0,2.688431
230.0,2.690088
240.0,2.771537
250.0,1.786783
280.0,2.75985
290.0,2.668699
480.0,2.69785
560.0,2.685673
710.0,2.759269
800.0,2.465619
850.0,2.708456
910.0,2.676885
950.0,2.669243
1040.0,2.720842
1080.0,2.705657
1170.0,2.608603
1240.0,2.685122
1310.0,2.140983
1390.0,2.743078
1510.0,2.711823
1630.0,2.666525
1720.0,2.700633
1730.0,2.621139
1770.0,2.616424
1810.0,2.612247
1850.0,2.606525
1881.0,2.687879
1920.0,2.682921
1960.0,2.676885
2070.0,2.736197
2170.0,3.17737
2330.0,2.643904
2401.0,2.706216
2411.0,2.619566
2441.0,2.701748
2451.0,2.614334
2480.0,2.610163
