_time,_left_vel
10.0,1.853972
20.0,3.700868
30.0,4.851731
40.0,6.436936
50.0,7.261447
60.0,8.252928
70.0,8.82614
80.0,10.0118
90.0,10.0118
100.0,9.882952
110.0,10.92196
120.0,10.89242
130.0,10.90149
140.0,11.49323
150.0,11.15125
160.0,10.8428
170.0,11.13093
180.0,11.21437
190.0,11.72209
200.0,10.78029
210.0,10.77586
220.0,12.0662
230.0,11.66184
240.0,11.60221
250.0,11.61171
260.0,11.3228
270.0,11.56201
280.0,11.56201
290.0,11.56201
300.0,11.28307
310.0,11.52208
320.0,11.24831
330.0,12.3482
340.0,11.82472
350.0,11.42922
360.0,11.15162
381.0,11.94776
391.0,11.32652
400.0,12.08677
410.0,11.356
420.0,11.72451
430.0,11.34237
440.0,11.05147
481.0,12.02017
490.0,12.03675
500.0,11.67624
510.0,11.30169
520.0,12.00639
530.0,11.2882
540.0,11.65226
561.0,11.97071
570.0,11.97892
580.0,11.62599
590.0,11.25684
601.0,11.9434
611.0,11.24568
630.0,11.23677
640.0,11.47968
650.0,11.7561
670.0,11.13093
680.0,11.34594
690.0,12.01254
710.0,11.95683
720.0,12.01576
730.0,11.88418
740.0,11.53011
750.0,11.84695
760.0,11.82472
770.0,10.91741
780.0,11.51924
790.0,11.81241
800.0,11.78541
810.0,12.68408
820.0,11.48243
830.0,11.13701
840.0,11.74393
850.0,11.72694
860.0,11.50445
870.0,11.70274
880.0,11.43592
890.0,11.65944
900.0,12.1654
910.0,11.60221
920.0,11.59272
931.0,10.98876
940.0,11.04173
950.0,11.56436
960.0,11.54318
970.0,11.53379
980.0,12.04894
990.0,11.51506
1000.0,11.17759
1011.0,11.44305
1020.0,11.81241
1030.0,12.28858
1040.0,11.13093
1050.0,11.36965
1060.0,11.73422
1070.0,12.22953
1080.0,12.06449
1090.0,12.21975
1100.0,11.71241
1110.0,11.33557
1120.0,12.04506
1130.0,12.19779
1140.0,11.68828
1150.0,12.18319
1161.0,12.01742
1170.0,12.17105
1181.0,12.56149
1191.0,12.15652
1201.0,11.98715
1210.0,11.28371
1230.0,11.27026
1241.0,11.95977
1251.0,12.12515
1270.0,12.11553
1280.0,11.93796
1291.0,11.24122
1320.0,12.07647
1330.0,12.05338
1340.0,11.86272
1350.0,11.34804
1360.0,11.9644
1370.0,11.96692
1380.0,11.96187
1390.0,11.21883
1400.0,11.86678
1410.0,11.84695
1420.0,11.53446
1430.0,11.19416
1440.0,11.81241
1450.0,11.81241
1470.0,11.95649
1480.0,11.77074
1490.0,11.92817
1500.0,12.1463
1510.0,11.7488
1520.0,11.71483
1530.0,11.70274
1540.0,11.39036
1560.0,11.64987
1570.0,11.79489
1580.0,11.99983
1590.0,11.78427
1600.0,12.34903
1610.0,11.5738
1620.0,11.94927
1630.0,11.54553
1640.0,11.50805
1650.0,11.51039
1661.0,11.16347
1670.0,11.44305
1680.0,12.17105
1690.0,11.42231
1700.0,11.78297
1710.0,12.2787
1720.0,12.08398
1731.0,11.35827
1741.0,11.72694
1751.0,11.34918
1761.0,12.05615
1771.0,11.33331
1781.0,11.69792
1791.0,11.32652
1801.0,11.02102
1820.0,12.5796
1830.0,12.17348
1840.0,11.00586
1850.0,11.29494
1871.0,12.14685
1881.0,11.97892
1890.0,10.98822
1900.0,11.63553
1910.0,12.12997
1921.0,10.95812
1931.0,11.24791
1941.0,11.60933
1950.0,11.24568
1970.0,10.67349
1970.0,10.67349
1990.0,12.0585
2000.0,11.49756
2010.0,11.35648
2040.0,11.94424
2050.0,12.02901
2060.0,11.57161
2070.0,11.98935
2080.0,11.82472
2090.0,11.83706
2100.0,12.35136
2110.0,11.97618
2120.0,11.79767
2130.0,11.79767
2140.0,11.48243
2150.0,11.94558
2160.0,11.7488
2170.0,11.75123
2180.0,11.49618
2190.0,11.72694
2200.0,12.54859
2210.0,12.56924
2220.0,11.42775
2230.0,11.82259
2240.0,12.39287
2250.0,11.60458
2260.0,11.97956
2270.0,11.57144
2280.0,12.32867
2290.0,11.55259
2300.0,11.91163
2310.0,11.51506
2320.0,12.38324
2330.0,11.44767
2340.0,11.81241
2350.0,12.31087
2360.0,12.14846
2370.0,11.40853
2380.0,11.70516
2390.0,11.36054
2400.0,12.0784
2410.0,12.2173
2420.0,12.62379
2430.0,12.20754
2441.0,12.04229
2450.0,11.32878
2460.0,11.69551
2471.0,12.18076
2481.0,12.02017
2491.0,11.3062
2500.0,12.16136
