_time,_control,_left_pos,_right_pos,_left_vel,_right_vel
2.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.01308997,0.01308997,1.663274,1.659058
9.0,0.0,0.01308997,0.01308997,1.663274,1.659058
17.0,0.0,0.0349637,0.0349637,4.429208,4.432582
25.0,0.0,0.05687576,0.05251245,7.204776,6.650563
33.0,0.0,0.07006134,0.0700423,8.871923,8.875308
33.0,0.0,0.07006134,0.0700423,8.871923,8.875308
41.0,0.0,0.09193548,0.08757209,11.10933,10.57904
49.0,0.0,0.09639426,0.0920119,12.19115,11.64144
57.0,0.0,0.113867,0.1094846,14.10849,13.56755
57.0,0.0,0.113867,0.1094846,14.10849,13.56755
65.0,0.0,0.1183066,0.1095608,15.07096,13.93855
73.0,0.0,0.1270526,0.1182878,15.97682,14.88248
81.0,0.0,0.1401807,0.1314158,16.62614,15.59258
81.0,0.0,0.1401807,0.1314158,16.62614,15.59258
89.0,0.0,0.140238,0.1314731,17.70335,16.599
97.0,0.0,0.1489649,0.1358367,18.29035,16.66827
105.0,0.0,0.149003,0.140219,18.59526,17.50801
105.0,0.0,0.149003,0.140219,18.59526,17.50801
113.0,0.0,0.1533665,0.1402382,19.1927,17.54982
121.0,0.0,0.1577488,0.1446016,19.76839,18.12103
129.0,0.0,0.157768,0.1446206,19.57867,17.9404
129.0,0.0,0.157768,0.1446206,19.57867,17.9404
137.0,0.0,0.1664947,0.1577107,20.23508,19.14905
145.0,0.0,0.1665328,0.1490411,20.54601,18.40608
153.0,0.0,0.153443,0.14464,20.28913,19.13738
153.0,0.0,0.153443,0.14464,20.28913,19.13738
162.0,0.0,0.1795658,0.1577108,20.88446,18.33543
169.0,0.0,0.1578631,0.1403145,20.86605,18.5476
177.0,0.0,0.1708584,0.1576919,20.62662,19.03765
177.0,0.0,0.1708584,0.1576919,20.62662,19.03765
185.0,0.0,0.1709151,0.1534044,20.93622,18.78892
193.0,0.0,0.1621887,0.144659,21.40302,19.07906
201.0,0.0,0.1708773,0.1533475,21.18382,19.02296
201.0,0.0,0.1708773,0.1533475,21.18382,19.02296
209.0,0.0,0.1752785,0.1577487,21.39146,19.25232
217.0,0.0,0.1752977,0.1621313,21.09669,19.51208
225.0,0.0,0.1665711,0.1446971,21.8944,19.01607
225.0,0.0,0.1665711,0.1446971,21.8944,19.01607
233.0,0.0,0.1752597,0.1620743,21.34176,19.74113
241.0,0.0,0.1709343,0.1577868,21.14433,19.51542
249.0,0.0,0.1752788,0.1621314,21.44403,19.83572
249.0,0.0,0.1752788,0.1621314,21.44403,19.83572
257.0,0.0,0.1709344,0.1534238,21.81382,19.58153
265.0,0.0,0.1752788,0.1621124,21.43612,19.82355
274.0,0.0,0.1752977,0.1621503,21.40458,19.80409
274.0,0.0,0.1752977,0.1621503,21.40458,19.80409
282.0,0.0,0.1796611,0.1621505,22.02342,19.8748
289.0,0.0,0.1622269,0.1534238,21.23691,20.08632
297.0,0.0,0.1708775,0.1577491,21.89803,20.21617
297.0,0.0,0.1708775,0.1577491,21.89803,20.21617
305.0,0.0,0.1796418,0.1621313,21.72125,19.59973
313.0,0.0,0.1796801,0.1621504,21.89673,19.76046
321.0,0.0,0.1753169,0.1665138,21.58191,20.50535
321.0,0.0,0.1753169,0.1665138,21.58191,20.50535
329.0,0.0,0.1665712,0.1534429,21.52769,19.82556
337.0,0.0,0.1708964,0.1577492,21.86427,20.1824
345.0,0.0,0.1796419,0.1621313,21.83792,19.7098
345.0,0.0,0.1796419,0.1621313,21.83792,19.7098
353.0,0.0,0.1796801,0.1665137,21.6215,20.03459
361.0,0.0,0.1665903,0.1534429,21.93495,20.20592
369.0,0.0,0.1752598,0.1664758,21.27153,20.20796
369.0,0.0,0.1752598,0.1664758,21.27153,20.20796
378.0,0.0,0.1883876,0.1665327,22.20389,19.62437
385.0,0.0,0.1666283,0.1578063,21.66836,20.52255
394.0,0.0,0.1796233,0.1621315,21.76883,19.64983
394.0,0.0,0.1796233,0.1621315,21.76883,19.64983
402.0,0.0,0.17968,0.1665137,21.76353,20.16863
409.0,0.0,0.1709536,0.1534429,22.19797,19.91865
417.0,0.0,0.1709155,0.1533858,21.72193,19.49404
417.0,0.0,0.1709155,0.1533858,21.72193,19.49404
426.0,0.0,0.1840053,0.1708389,21.98675,20.41872
433.0,0.0,0.1666092,0.1534617,21.58655,19.87976
441.0,0.0,0.1796232,0.1621126,21.93431,19.79681
441.0,0.0,0.1796232,0.1621126,21.93431,19.79681
450.0,0.0,0.1840433,0.170877,21.942,20.37715
457.0,0.0,0.1578827,0.1447352,21.53841,19.74084
465.0,0.0,0.1795851,0.1664378,21.67389,20.08556
465.0,0.0,0.1795851,0.1664378,21.67389,20.08556
474.0,0.0,0.1840432,0.1708958,21.88697,20.32847
481.0,0.0,0.1666093,0.153462,21.75936,20.03625
489.0,0.0,0.1708966,0.1533859,22.05984,19.79986
489.0,0.0,0.1708966,0.1533859,22.05984,19.79986
498.0,0.0,0.1883686,0.1752022,21.95447,20.42276
505.0,0.0,0.1666282,0.1578441,21.48306,20.35238
514.0,0.0,0.1839867,0.166495,22.13013,20.0225
514.0,0.0,0.1839867,0.166495,22.13013,20.0225
521.0,0.0,0.1709724,0.1578061,21.92625,20.2344
529.0,0.0,0.1709156,0.1577682,22.00849,20.32078
538.0,0.0,0.1840053,0.170858,21.68239,20.13603
538.0,0.0,0.1840053,0.170858,21.68239,20.13603
545.0,0.0,0.1753358,0.1578251,22.16573,19.94409
553.0,0.0,0.1709347,0.1577683,21.97154,20.28666
561.0,0.0,0.1796421,0.170858,21.76353,20.69687
561.0,0.0,0.1796421,0.170858,21.76353,20.69687
570.0,0.0,0.1884067,0.1709151,22.20127,20.13842
577.0,0.0,0.1622651,0.1490987,21.93816,20.16214
585.0,0.0,0.1796043,0.1708202,21.50454,20.45062
585.0,0.0,0.1796043,0.1708202,21.50454,20.45062
593.0,0.0,0.1753166,0.1621883,22.05091,20.39709
601.0,0.0,0.1752979,0.1577873,22.70495,20.43711
609.0,0.0,0.1796611,0.1708581,21.46841,20.41872
609.0,0.0,0.1796611,0.1708581,21.46841,20.41872
618.0,0.0,0.1796802,0.1665518,22.11053,20.49775
625.0,0.0,0.1753169,0.1578064,22.42777,20.17981
633.0,0.0,0.1709346,0.1577682,21.84182,20.16427
633.0,0.0,0.1709346,0.1577682,21.84182,20.16427
641.0,0.0,0.1883687,0.1752213,22.29625,20.74316
649.0,0.0,0.1709915,0.1578442,21.83341,20.14616
